,n.name,n.code,score
2861,Jugtown Mountain Airport,2NJ1,1.0
3265,Manitou Field,91NY,1.0
2083,Reid Restricted Landing Area,6IL6,1.0
2107,Moltz Airport,50TA,1.0
1826,Taylor Airport,IL07,1.0
3665,Orlando Sanford International Airport,KSFB,1.0
1448,Darke County Airport,KVES,1.0
54,Maine Prairie Airport,13CL,1.0
2700,HSH Airstrip,1OK6,1.0
894,Miller Airport,PN56,1.0
4701,Carl's Landing Airport,AK19,1.0
3830,Hoppe Sky Ranch Airport,93MN,1.0
1304,Alexander Field South Wood County Airport,KISW,1.0
1929,Wautoma Municipal Airport,KY50,1.0
3180,La Center View-Air Airport,WA29,1.0
2335,Hilltop Ranch Airport,9TA1,1.0
2166,Stone Airstrip,32CA,1.0
4308,Johary Airport,FL58,1.0
2308,Slaughter Ranch Airport,86TA,1.0
2897,Ledgedale Airpark,K7G0,1.0
2776,Harmony Field,6XS9,1.0
2893,Portage County Regional Airport,KPOV,1.0
2782,Mission Field,OH35,1.0
2180,Hammer Field Airport,7AR0,1.0
3728,Worrell Airport,6TS1,1.0
3732,Lake Texoma State Park Airport,KF31,1.0
3735,Santa Rosa Naval Outlying Field Airport,KNGS,1.0
3741,Buffalo Chips Airpark,TE45,1.0
2832,Bradley International Airport,KBDL,1.0
3753,Allen Airport,8OH8,1.0
1330,Double S Farms Airport,56OI,1.0
1732,Kelly's Field,7ND2,1.0
1820,Marty Ranch Airport,XS95,1.0
1321,Halls Flying Ranch Airport,0GA0,1.0
812,Tom J Moore Farm Airport,XS18,1.0
1117,Jerry Sumners Sr Aurora Municipal Airport,K2H2,1.0
13,Montana Creek Airport,21AK,1.0
748,Bluestem Airport,OK58,1.0
4208,Tama Airport,53IA,1.0
2581,Skyland Airport,NC50,1.0
3508,Donald A. Hamilton Airport,8LL7,1.0
4239,Miller Airport,OI59,1.0
4009,St Maries Municipal Airport,KS72,1.0
3389,Vinita Municipal Airport,KH04,1.0
4118,Heberlig Airport,PS02,1.0
3891,Shinn Bone Lane Airport,IN35,1.0
3958,Coyle Field,NJ20,1.0
4176,Wabbaseka Flying Service Airport,5AR3,1.0
3033,Elyria Airport,K1G1,1.0
4295,Davies Air Field,OI08,1.0
2628,Kindsvater Ranch Airport,CL24,1.0
3051,Toussaint Airpark,9OH2,1.0
2552,Cloudbound Airport,PA47,1.0
3111,Mac's Field,7MO6,1.0
3936,Kastanek Airport,MY15,1.0
406,Sequoia Field,KD86,1.0
1615,Parker Airport,70NJ,0.6666666666666666
4010,Childress Airstrip,MU12,0.6666666666666666
1430,Hutson Field,KGAF,0.6666666666666666
2754,Jetway Airport,61OH,0.6666666666666666
1227,Jer-Mar Airpark,18OH,0.6666666666666666
1591,Carroll's Airport,OI22,0.6666666666666666
3390,Sobolik Airport,98ND,0.5714285714285714
4377,Washington Dulles International Airport,KIAD,0.41211491211491214
4480,Teterboro Airport,KTEB,0.41188137514166984
4464,Chicago Midway International Airport,KMDW,0.4029381871939388
4450,Dallas Love Field,KDAL,0.4016393442622951
4438,McCarran International Airport,KLAS,0.4006430868167203
4423,Nashville International Airport,KBNA,0.39870177363320536
4422,Hartsfield Jackson Atlanta International Airport,KATL,0.39699590350477926
4376,Chicago O'Hare International Airport,KORD,0.396094459582198
4482,William P Hobby Airport,KHOU,0.39242328804103305
4380,Miami International Airport,KMIA,0.3916479568926807
4405,Dallas Fort Worth International Airport,KDFW,0.39122633892527137
4517,Louisville Muhammad Ali International Airport,KSDF,0.39115615750291505
