,n.name,n.code,score
2867,Eagle Nest Airport,AK88,1.0
4428,Circle T Airport,98GA,1.0
2238,Thomas Airport,MU85,1.0
3652,Finney's Airpark,II77,1.0
3667,Flintlock Field,7MO4,1.0
2875,Townley Farms Airport,9LL9,1.0
1879,Kayutah Lake/James & Helene D Allen Memorial Airport,2NY9,1.0
3711,3-M's Airport,96GA,1.0
3725,Smith Restricted Landing Area,6LL5,1.0
2418,Stephenville Clark Regional Airport,KSEP,1.0
3746,Catfish Point Airport,0MS8,1.0
3752,Indianola Municipal Airport,KIDL,1.0
2694,Merrys Pymatuning Airport,PA01,1.0
3770,Jake Arner Memorial Airport,K22N,1.0
2204,Harris Airport,IS24,1.0
732,Eagles Nest Airport,K31E,1.0
159,Jerry Phibbs Airport,NK43,1.0
906,Crooked Creek Airport,7NC5,1.0
2091,Dreamland Airport,XA48,1.0
982,Nocona Airport,KF48,1.0
2744,B-B Airfield,17MU,1.0
1351,Ultralight Flight Farm Ultralightport,NK89,1.0
1361,J T Willie Airport,9PS2,1.0
1031,Cincinnati West Airport,KI67,1.0
1940,Schumaier Restricted Landing Area,01LL,1.0
2397,Minuteman Strip,AK68,1.0
3592,Triple S Ranch Airport,82WI,1.0
155,Flying K Airport,6NK8,1.0
1933,Moore Airfield,01NH,1.0
2261,Mindzak Airfield,OI88,1.0
2050,Buchta Airport,II96,1.0
3616,Striplin Airfield,AL62,1.0
2408,Youngstown Elser Metro Airport,K4G4,1.0
2417,West Papoose Lake Airpark,44AK,1.0
3819,Sky King Airport,K3I3,1.0
1829,Cayton Pony Express Airport,8MO5,1.0
1976,Mann Ranch Airport,95CO,1.0
3103,Coastal Carolina Regional Airport,KEWN,1.0
2666,Orum Aerodrome,86NE,1.0
2940,Mount Vernon Municipal Airport,K2MO,1.0
507,Alley Oop Airport,68IN,1.0
506,Woods Airport,77TX,1.0
1801,Hammer Field Airport,7AR0,1.0
2944,Piper's Landing Airport,IS34,1.0
2111,Franklin County State Airport,KFSO,1.0
3138,Ray Farm Airport,1TE7,1.0
2152,Columbiana County Airport,K02G,1.0
2147,Campbell Field,06XS,1.0
4060,Ideal Mfg Corp Airport,NJ69,1.0
2143,Caddo Mills Municipal Airport,K7F3,1.0
3019,Grove Municipal Airport,KGMJ,1.0
378,Lakeside Airport,MT03,1.0
1807,Flying Crown Airport,AK12,1.0
2548,Anderson Airport,IA54,1.0
2905,Stoney's Airport,OI32,1.0
2518,Skyport Airport,WI27,1.0
2912,Reed Airport,2PA3,1.0
2094,Ava Bill Martin Memorial Airport,KAOV,1.0
2508,Powhatan Airport,VA57,1.0
268,Mumford Farms Airport,5II5,1.0
2095,Painting Planes Airport,KO11,1.0
652,Rabbit Run Airport,5TA2,1.0
3218,Oak Glen Ranch Airport,3TS9,1.0
2544,Grund Field,NY55,1.0
1593,Cedar Creek Airport,MO74,1.0
2528,Klein Airport,IN92,1.0
2173,Haire Airport,TX33,1.0
1618,Benedick Airport,AL37,1.0
2538,Stutzke Airport,LL38,1.0
