,n.name,n.code,score
2583,Walser Strip,97ND,1.0
3731,Cox Airport,NC81,1.0
3928,Adams County Legion Field,K63C,1.0
2550,Ratcliff Airport,IG02,1.0
3840,Baney's Airport,90PN,1.0
2443,Wakeman Airport,KI64,1.0
3946,Dan France Airport,7AK6,1.0
3274,Ingels Aerodrome,4KS2,1.0
4013,Skwentna Airport,PASW,1.0
574,Prose Field,XA00,1.0
4054,Calexico International Airport,KCXL,1.0
2148,Bee-Acre Farm Strip,99IN,1.0
1561,Dry Creek Airpark,OG21,1.0
2132,Mount Carmel Municipal Airport,KAJG,1.0
2124,Sky Way Estates Airport,CL04,1.0
2099,Kelly's Field,7ND2,1.0
2090,Dozier Airport,57IS,1.0
4375,Mario's Flying Pizza Airport,2TA4,1.0
2623,Skylark Airport,XS34,1.0
2658,Killeen-Fort Hood Regional Airport / Robert Gray Army Air Field,KGRK,1.0
2989,St Maries Municipal Airport,KS72,1.0
3134,J & S Field,12IN,1.0
3092,Jiles Field,9NC4,1.0
898,Durant Regional Airport - Eaker Field,KDUA,1.0
4598,Bangerter Field,70AK,1.0
4527,Kendall Airstrip,WN08,1.0
737,Beaver Oaks Airport,OR66,1.0
978,Tampa North Aero Park Airport,KX39,1.0
2681,Etter Airport,II19,1.0
985,Youngstown Warren Regional Airport,KYNG,1.0
4366,McKnight Airport,5OI8,1.0
2908,Crompton's Private Strip,MI05,1.0
2906,Ragtime Aerodrome,09OK,1.0
685,Nesta Airport,9OI6,1.0
2703,Portage County Regional Airport,KPOV,1.0
4103,Paradise Skypark Airport,CA92,1.0
3284,Griffin Airport,0IL2,1.0
4210,Inductotherm Airport,3NJ6,1.0
1965,Wyckoff Airstrip,5IN4,1.0
4239,Sobolik Airport,98ND,1.0
4813,Eagle Nest Airport,AK88,1.0
1971,Henry County Airport,K7W5,1.0
3749,Wenning Landing Area Airport,MI37,1.0
4095,Richland Airport,K93C,0.6666666666666666
1580,Buckingham Airport,PS68,0.6666666666666666
85,Teterboro Airport,KTEB,0.42041988157186433
44,Washington Dulles International Airport,KIAD,0.4101531728665208
25,Dallas Love Field,KDAL,0.4058899956691208
64,McCarran International Airport,KLAS,0.4048030407740152
63,Chicago Midway International Airport,KMDW,0.4028888315708022
147,Nashville International Airport,KBNA,0.40137044967880087
110,Phoenix Sky Harbor International Airport,KPHX,0.39819850441876276
34,Philadelphia International Airport,KPHL,0.39796178343949046
40,Chicago O'Hare International Airport,KORD,0.39684959349593496
26,Hartsfield Jackson Atlanta International Airport,KATL,0.39611158072696534
134,William P Hobby Airport,KHOU,0.39577702702702705
104,Charlotte Douglas International Airport,KCLT,0.3950763004805666
61,Dallas Fort Worth International Airport,KDFW,0.3948100092678406
129,Louisville Muhammad Ali International Airport,KSDF,0.3926596279537456
106,Fort Lauderdale Hollywood International Airport,KFLL,0.3912172315912506
51,Raleigh Durham International Airport,KRDU,0.3898178188170701
112,Scottsdale Airport,KSDL,0.38952618453865334
75,Westchester County Airport,KHPN,0.38913801694070754
164,DeKalb Peachtree Airport,KPDK,0.3877534133223004
77,Miami International Airport,KMIA,0.3875609957819866
1982,South St Paul Municipal Richard E Fleming field,KSGS,0.38688903566710703
46,George Bush Intercontinental Houston Airport,KIAH,0.3863149216817807
98,John Glenn Columbus International Airport,KCMH,0.3857742652506792
143,Miami-Opa Locka Executive Airport,KOPF,0.38545693838940526
102,San Francisco International Airport,KSFO,0.38504519309778146
177,Addison Airport,KADS,0.3842558425584256
54,Baltimore/Washington International Thurgood Marshall Airport,KBWI,0.38406687976395376
233,Spirit of St Louis Airport,KSUS,0.38331288343558284
837,South Valley International Airport,KU42,0.3832188420019627
175,Centennial Airport,KAPA,0.3827805914066329
29,Denver International Airport,KDEN,0.3824369542152942
1,Los Angeles International Airport,KLAX,0.38193821827369795
30,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,0.3815339521250611
105,St Louis Lambert International Airport,KSTL,0.3814407814407814
100,Detroit Metropolitan Wayne County Airport,KDTW,0.3809136725735653
157,Naples Municipal Airport,KAPF,0.3803262722181641
1394,Seidel Ranch Airport,02XS,0.3803262722181641
152,Eppley Airfield,KOMA,0.37998702562439185
96,San Antonio International Airport,KSAT,0.3799254094373277
91,Chicago Executive Airport,KPWK,0.3793103448275862
189,John Wayne Airport-Orange County Airport,KSNA,0.3786054779025612
343,Laurence G Hanscom Field,KBED,0.37854430891025126
291,St Petersburg Clearwater International Airport,KPIE,0.37854430891025126
38,Newark Liberty International Airport,KEWR,0.37851373182552506
7,Metropolitan Oakland International Airport,KOAK,0.3784525924729446
176,McGhee Tyson Airport,KTYS,0.3782387601904916
124,Logan International Airport,KBOS,0.37790322580645164
128,San Diego International Airport,KSAN,0.37747704204929916
115,Norman Y. Mineta San Jose International Airport,KSJC,0.37608346709470303
89,Ronald Reagan Washington National Airport,KDCA,0.3753003363767419
551,Jack Northrop Field Hawthorne Municipal Airport,KHHR,0.3748200287953927
113,Van Nuys Airport,KVNY,0.37470014393091317
197,Ellington Airport,KEFD,0.37371401228168116
298,Charles B. Wheeler Downtown Airport,KMKC,0.37344596748485814
254,Oakland County International Airport,KPTK,0.3725848771567146
107,Seattle Tacoma International Airport,KSEA,0.37187524799619076
