,n.name,n.code,score
4311,Marshalltown Municipal Airport,KMIW,1.0
3778,Iowa Falls Municipal Airport,KIFA,1.0
2346,Davis Private Airport,VT45,1.0
4349,Edgar County Airport,KPRG,1.0
3044,Triple S Ranch Airport,82WI,1.0
4340,Stark Airport,MU18,1.0
4732,Wolfe Field,IN65,1.0
4338,Askey Field,9TN5,1.0
3075,Boscobel Airport,KOVS,1.0
3087,Woodland Airstrip,3WN7,1.0
2223,Harris Airport,MD69,1.0
3097,Dave Rice Ultralightport,OH91,1.0
2627,Townley Farms Airport,9LL9,1.0
683,Sunset Strip,33OH,1.0
675,Jennie'S Field,WI13,1.0
3734,Inter-State Airport,MO29,1.0
2150,Yorks Field,NC13,1.0
2126,Elephant Path Airport,PS03,1.0
4083,Lake Arthur Field,PN84,1.0
3019,Fentress Airpark,XS90,1.0
4372,Olney Noble Airport,KOLY,1.0
4300,Ferris Airport,25TA,1.0
215,Lawrenceville Vincennes International Airport,KLWV,1.0
4424,Franklinton Airport,K2R7,1.0
2725,Stutzke Airport,LL38,1.0
3802,Mckimmy Field,MI23,1.0
2745,Tri-County Aerodrome,48TX,1.0
4742,Secluded Lake Airport,49AK,1.0
3793,Gentry Airport,FD37,1.0
4402,Heinzman Airport,03IN,1.0
1180,McComb-Pike County Airport / John E Lewis Field,KMCB,1.0
4397,Waseca Municipal Airport,KACQ,1.0
1197,Philadelphia Gliderport,0PA0,1.0
2461,Sierra Vista Municipal Airport / Libby Army Air Field,KFHU,1.0
3784,Lautzenhiser Airpark,IN83,1.0
2831,Kalispell City Airport,KS27,1.0
3840,Kenneth Hayward Airport,47MI,1.0
3781,Rainbow's End Airport,JY39,1.0
2898,Carter-Norman Airport,TA87,1.0
2413,Gehris Airport,39PA,1.0
3214,Little 'L' Ranch Airport,TS61,1.0
3812,Owatonna Degner Regional Airport,KOWA,1.0
3230,Elliott Farms Airport,9ND1,1.0
1828,Townsend A Airport,DE34,1.0
3717,Cheryl-Lane Landings Airport,09FD,1.0
4558,Lost Acres Airport,8PN0,1.0
3460,Kropf Airport,0II6,1.0
4053,Chiles Airpark,69KS,1.0
1855,Millertime Airport,4OH4,1.0
1646,Circle Eight Ranch Airport,XA04,1.0
3970,Full Throttle Farm Airport,23DE,1.0
3504,Captain's Folly Airport,PS25,1.0
1805,Ridgely Airpark,KRJD,1.0
544,David Beiswanger Ultralightport,6II6,1.0
411,Orange Hill Airport,15FD,1.0
3643,Bluestem Airport,OK58,1.0
1677,Liannimal's Landing,56IS,1.0
4583,Brennan Personal Use Airport,2PN7,1.0
4005,Bohn Airstrip,1NA0,1.0
4570,Godman Army Air Field,KFTK,1.0
1700,Far View Airport,OI41,1.0
1745,Randolph County Airport,KI22,1.0
1891,Hanson Airport,0MT6,1.0
4229,Winona–Montgomery County Airport,K5A6,1.0
3922,Smith Field Airport,2OH6,1.0
1909,Logan's Chance Airport,57OI,1.0
1893,Kendall Airstrip,WN08,1.0
4298,Stromsburg Municipal Airport,23NE,1.0
3271,Jensen Field,6MI1,1.0
613,Sutton's Field,0II8,1.0
1894,N D Ranch Airport,51TX,1.0
600,Fairways Airport,OG20,1.0
3336,Huntsville Municipal Airport,KH34,1.0
