,n.name,n.code,score
4156,Chicago O'Hare International Airport,KORD,1132268.2374228586
4229,Hartsfield Jackson Atlanta International Airport,KATL,774411.4777363017
4197,Dallas Fort Worth International Airport,KDFW,632701.3305919886
4195,Teterboro Airport,KTEB,625210.4840715142
4191,Raleigh Durham International Airport,KRDU,548316.94204549
4521,DeKalb Peachtree Airport,KPDK,543537.569185792
4221,McCarran International Airport,KLAS,542489.1906339867
4317,Addison Airport,KADS,532423.6152338777
4215,Dallas Love Field,KDAL,526514.154388118
4250,Washington Dulles International Airport,KIAD,488736.9540654095
4232,Phoenix Sky Harbor International Airport,KPHX,479914.4366275954
4200,William P Hobby Airport,KHOU,462415.50609884213
4155,Philadelphia International Airport,KPHL,455930.7121524909
4296,Chicago Midway International Airport,KMDW,423703.22842971527
4208,Baltimore/Washington International Thurgood Marshall Airport,KBWI,371556.7287394088
4283,San Antonio International Airport,KSAT,370871.73344788543
4145,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,369931.2191717175
4177,Nashville International Airport,KBNA,358873.2669247254
4161,George Bush Intercontinental Houston Airport,KIAH,340411.0409222629
4179,Los Angeles International Airport,KLAX,321236.4719468197
4190,Miami International Airport,KMIA,311430.4861281564
4282,Dane County Regional Truax Field,KMSN,307787.33122884395
4158,St Louis Lambert International Airport,KSTL,306244.1096312309
4240,Centennial Airport,KAPA,295665.43521102116
4263,Scottsdale Airport,KSDL,292828.65790212725
4225,Logan International Airport,KBOS,288361.002268783
4325,Boeing Field King County International Airport,KBFI,284640.94023518387
4336,Fort Worth Meacham International Airport,KFTW,265399.0803192005
4199,Ted Stevens Anchorage International Airport,PANC,263722.43566488393
4284,Louisville Muhammad Ali International Airport,KSDF,262001.3374071367
4147,Denver International Airport,KDEN,253912.1474415463
4248,Tampa International Airport,KTPA,252477.43484719892
4421,Richard Lloyd Jones Jr Airport,KRVS,248494.9313977511
4188,San Francisco International Airport,KSFO,246262.52563608089
4267,Charles B. Wheeler Downtown Airport,KMKC,241505.4058343824
4140,Detroit Metropolitan Wayne County Airport,KDTW,237775.07596911822
4210,Portland International Airport,KPDX,237603.73863316167
4238,John Glenn Columbus International Airport,KCMH,217357.9922910721
4264,Austin Bergstrom International Airport,KAUS,216897.38545049104
4223,Westchester County Airport,KHPN,216734.02212744587
4230,Fort Lauderdale Hollywood International Airport,KFLL,215634.3647442114
4165,Flying Cloud Airport,KFCM,213662.69768570163
4381,Chicago Executive Airport,KPWK,213024.13172956847
4186,Norman Y. Mineta San Jose International Airport,KSJC,208384.49279874624
4345,Metropolitan Oakland International Airport,KOAK,203566.96917371568
4270,Naples Municipal Airport,KAPF,201794.7093996082
228,The Ohio State University Airport - Don Scott Field,KOSU,196313.10019881048
4144,Laurence G Hanscom Field,KBED,196251.1792534658
4397,Spirit of St Louis Airport,KSUS,188611.98013749017
4298,Eppley Airfield,KOMA,186588.97522491904
4143,Seattle Tacoma International Airport,KSEA,181493.50971524706
4134,Newark Liberty International Airport,KEWR,175173.55500406912
4193,John Wayne Airport-Orange County Airport,KSNA,174281.27643243133
4290,Sarasota Bradenton International Airport,KSRQ,172937.16818166611
104,St Louis Downtown Airport,KCPS,171621.5295625692
4178,Ronald Reagan Washington National Airport,KDCA,169066.07218129025
4333,Boise Air Terminal/Gowen Field,KBOI,164616.98040095103
4246,Van Nuys Airport,KVNY,164365.7423000618
4276,Gerald R. Ford International Airport,KGRR,162369.10172342026
4272,McGhee Tyson Airport,KTYS,162080.31940728799
4310,Miami-Opa Locka Executive Airport,KOPF,161586.20509587854
4457,Sugar Land Regional Airport,KSGR,155140.42987772712
4473,Page Field,KFMY,150955.06644481767
