,n.name,n.code,score
19,Chicago O'Hare International Airport,KORD,1233713.4890118167
102,Dallas Fort Worth International Airport,KDFW,1170719.0036018742
59,Charlotte Douglas International Airport,KCLT,1003365.1075049811
40,Addison Airport,KADS,969587.0862927971
127,Centennial Airport,KAPA,938472.2021988659
74,Indianapolis International Airport,KIND,757436.7653956098
120,Dallas Love Field,KDAL,730393.8776153349
268,DeKalb Peachtree Airport,KPDK,694746.0332053385
43,Ted Stevens Anchorage International Airport,PANC,691029.2173991897
38,Louisville Muhammad Ali International Airport,KSDF,688186.755837297
165,Raleigh Durham International Airport,KRDU,643026.2283977078
80,Baltimore/Washington International Thurgood Marshall Airport,KBWI,610271.336054385
200,Chicago Executive Airport,KPWK,588443.8399066238
67,Hartsfield Jackson Atlanta International Airport,KATL,569440.9134770386
60,McCarran International Airport,KLAS,540974.4814835738
84,Phoenix Sky Harbor International Airport,KPHX,520199.22062757064
115,Chicago Midway International Airport,KMDW,513803.99952398083
364,Cincinnati Municipal Airport Lunken Field,KLUK,490032.68819342996
16,Scottsdale Airport,KSDL,489518.31587050133
122,Philadelphia International Airport,KPHL,474550.62399158743
135,Flying Cloud Airport,KFCM,470961.7844882076
137,Boeing Field King County International Airport,KBFI,460964.77954291
195,Charles B. Wheeler Downtown Airport,KMKC,454136.04109257174
128,Spirit of St Louis Airport,KSUS,445703.98010307795
114,Washington Dulles International Airport,KIAD,437065.388366721
71,Austin Bergstrom International Airport,KAUS,400421.9919221636
382,Fort Worth Meacham International Airport,KFTW,390673.0737572384
95,Nashville International Airport,KBNA,390486.03474979283
47,Los Angeles International Airport,KLAX,356865.1528264563
48,Seattle Tacoma International Airport,KSEA,345694.28608689597
329,Dupage Airport,KDPA,343714.6630633894
327,Northwest Florida Beaches International Airport,KECP,341880.2638177705
64,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,340966.0497180402
13,John Wayne Airport-Orange County Airport,KSNA,334465.6241734277
132,Oakland County International Airport,KPTK,332641.4913325933
54,Westchester County Airport,KHPN,327141.2960837008
547,Dane County Regional Truax Field,KMSN,322897.4329042399
70,St Louis Lambert International Airport,KSTL,299524.36558867834
109,John Glenn Columbus International Airport,KCMH,289860.13286778453
106,McKinney National Airport,KTKI,288755.1705033087
312,Sarasota Bradenton International Airport,KSRQ,286569.0934640803
68,Logan International Airport,KBOS,285601.81686194194
187,San Antonio International Airport,KSAT,279533.38115101797
178,Boise Air Terminal/Gowen Field,KBOI,266104.4998932544
166,Frederick Douglass Greater Rochester International Airport,KROC,263676.2665323736
93,Detroit Metropolitan Wayne County Airport,KDTW,259820.32543841776
45,McGhee Tyson Airport,KTYS,254927.97304014646
756,Tulsa International Airport,KTUL,254245.97018345312
69,Teterboro Airport,KTEB,244758.2059662993
87,General Mitchell International Airport,KMKE,242397.87426037795
61,Portland International Airport,KPDX,240248.45834091358
130,Van Nuys Airport,KVNY,237669.44859193277
73,Fort Lauderdale Hollywood International Airport,KFLL,229196.1438400655
260,Richard Lloyd Jones Jr Airport,KRVS,225685.28561951738
303,Fort Worth Alliance Airport,KAFW,225100.54897521576
175,Metropolitan Oakland International Airport,KOAK,222031.0459010055
197,Portland Hillsboro Airport,KHIO,218392.34073946485
76,Eppley Airfield,KOMA,212858.09942986988
184,St Louis Downtown Airport,KCPS,212519.05989284042
1090,Laurence G Hanscom Field,KBED,210297.38307692306
140,William P Hobby Airport,KHOU,206625.91062349497
270,Norman Y. Mineta San Jose International Airport,KSJC,204967.3280997101
217,Naples Municipal Airport,KAPF,202316.74313624628
66,Miami-Opa Locka Executive Airport,KOPF,199507.70370538923
263,Bowman Field,KLOU,196563.66240430347
243,Manassas Regional Airport/Harry P. Davis Field,KHEF,196409.11330653963
488,Destin Executive Airport,KDTS,192984.5108293974
257,Johnson County Executive Airport,KOJC,184804.31256220103
712,Cobb County International Airport-McCollum Field,KRYY,181140.86407095112
63,Morristown Municipal Airport,KMMU,177519.51289757516
98,Lehigh Valley International Airport,KABE,177296.56987394096
124,St Petersburg Clearwater International Airport,KPIE,176309.22430364846
219,Lincoln Airport,KLNK,173725.95976803257
877,San Marcos Regional Airport,KHYI,167041.59208565918
35,San Francisco International Airport,KSFO,165782.7968045564
161,Frederick Municipal Airport,KFDK,164879.91698740577
