,n.name,n.code,score
17,Chicago O'Hare International Airport,KORD,1421880.2889125664
122,Dallas Fort Worth International Airport,KDFW,939598.5395784255
67,Teterboro Airport,KTEB,904679.5505138471
45,Hartsfield Jackson Atlanta International Airport,KATL,805416.7688845883
99,Washington Dulles International Airport,KIAD,722230.2964335277
203,Addison Airport,KADS,692945.2697369988
113,Raleigh Durham International Airport,KRDU,662017.5616929064
48,Dallas Love Field,KDAL,645605.9379639793
100,Phoenix Sky Harbor International Airport,KPHX,620792.7003891541
72,McCarran International Airport,KLAS,615546.0167417586
51,Philadelphia International Airport,KPHL,607737.1843659722
188,Nashville International Airport,KBNA,527559.1869986206
52,Centennial Airport,KAPA,525183.5342909507
46,Baltimore/Washington International Thurgood Marshall Airport,KBWI,522231.7408433528
69,William P Hobby Airport,KHOU,505115.43617095944
211,DeKalb Peachtree Airport,KPDK,454293.03864000965
296,Charles B. Wheeler Downtown Airport,KMKC,443854.4916274144
865,Charlotte Douglas International Airport,KCLT,411184.7968659944
40,Ted Stevens Anchorage International Airport,PANC,406318.01761365787
116,Chicago Midway International Airport,KMDW,399666.9436653112
125,Westchester County Airport,KHPN,390219.60416576854
33,George Bush Intercontinental Houston Airport,KIAH,380645.253289945
60,San Antonio International Airport,KSAT,375808.309619855
347,Oakland County International Airport,KPTK,373468.8594458214
177,John Glenn Columbus International Airport,KCMH,370677.65324644936
49,Los Angeles International Airport,KLAX,352784.49108918785
168,Spirit of St Louis Airport,KSUS,349760.7535805061
102,Logan International Airport,KBOS,331152.9535783936
91,Norman Y. Mineta San Jose International Airport,KSJC,317733.7767653769
119,Boeing Field King County International Airport,KBFI,314586.13111718255
268,Chicago Executive Airport,KPWK,293190.57625767065
20,San Francisco International Airport,KSFO,293189.2720467333
443,Fort Worth Meacham International Airport,KFTW,285438.3189049435
127,Detroit Metropolitan Wayne County Airport,KDTW,284589.25023092044
66,Fort Lauderdale Hollywood International Airport,KFLL,274299.90798110457
166,Dane County Regional Truax Field,KMSN,273071.7333866437
180,Scottsdale Airport,KSDL,262022.07264725777
164,Eppley Airfield,KOMA,261967.83367848865
88,St Louis Lambert International Airport,KSTL,261953.75231243053
61,Metropolitan Oakland International Airport,KOAK,256918.2244171515
11,Seattle Tacoma International Airport,KSEA,256766.2145443065
36,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,254743.0438277951
57,John Wayne Airport-Orange County Airport,KSNA,247297.308079238
287,Tulsa International Airport,KTUL,241451.9682869528
106,Louisville Muhammad Ali International Airport,KSDF,240467.4031425339
56,Austin Bergstrom International Airport,KAUS,237502.9110018803
50,Denver International Airport,KDEN,235811.1401421929
142,Boise Air Terminal/Gowen Field,KBOI,228531.7969524719
74,Newark Liberty International Airport,KEWR,226828.809861344
484,Sugar Land Regional Airport,KSGR,226038.1092885855
256,Richard Lloyd Jones Jr Airport,KRVS,220308.1604311126
1032,St Louis Downtown Airport,KCPS,218324.15892604293
47,Miami International Airport,KMIA,214758.07686502225
275,Cincinnati Municipal Airport Lunken Field,KLUK,212407.24329837135
381,Laurence G Hanscom Field,KBED,210721.682869883
150,Sarasota Bradenton International Airport,KSRQ,209810.66733302514
112,Portland International Airport,KPDX,209624.35118036848
96,Trenton Mercer Airport,KTTN,208115.27669259935
171,McKinney National Airport,KTKI,203890.19756620366
162,McGhee Tyson Airport,KTYS,199785.11828604373
326,Dupage Airport,KDPA,191344.31181586452
79,David Wayne Hooks Memorial Airport,KDWH,188102.34768328042
82,Page Field,KFMY,187719.61624739695
31,Rocky Mountain Metropolitan Airport,KBJC,187161.6129978263
143,Ronald Reagan Washington National Airport,KDCA,185294.27166136197
93,Van Nuys Airport,KVNY,183821.50878866154
103,St Petersburg Clearwater International Airport,KPIE,182657.88630607937
519,Flying Cloud Airport,KFCM,178314.48947777675
75,Gerald R. Ford International Airport,KGRR,168448.13379025477
97,Naples Municipal Airport,KAPF,166100.50479266077
204,Portland Hillsboro Airport,KHIO,162670.25206865696
245,Frederick Douglass Greater Rochester International Airport,KROC,154468.31338849824
439,Fort Worth Alliance Airport,KAFW,152545.7836139132
135,Johnson County Executive Airport,KOJC,151817.28931342572
174,James M Cox Dayton International Airport,KDAY,150537.67013400007
63,Miami-Opa Locka Executive Airport,KOPF,148781.37375302272
5033,John F Kennedy International Airport,KJFK,147748.22594836843
354,City of Colorado Springs Municipal Airport,KCOS,146799.5913942944
148,Albuquerque International Sunport,KABQ,142392.8985332714
195,Lincoln Airport,KLNK,140399.59315275095
413,Abraham Lincoln Capital Airport,KSPI,136867.96208493176
342,Purdue University Airport,KLAF,132027.37023073505
30,Norfolk International Airport,KORF,131107.67631647442
335,Roanoke–Blacksburg Regional Airport,KROA,124433.5434121866
404,Northwest Florida Beaches International Airport,KECP,121132.10128796933
777,Arlington Municipal Airport,KGKY,120978.12639402159
104,Springfield Branson National Airport,KSGF,120828.87404851006
158,Morristown Municipal Airport,KMMU,119800.26351602639
266,Daytona Beach International Airport,KDAB,117922.91716606152
170,Lehigh Valley International Airport,KABE,116539.63875805047
84,San Diego International Airport,KSAN,114888.76116682417
438,Manassas Regional Airport/Harry P. Davis Field,KHEF,110939.74886341432
139,Syracuse Hancock International Airport,KSYR,109870.46596140353
129,General Mitchell International Airport,KMKE,108936.26649072519
5026,Phoenix–Mesa Gateway Airport,KIWA,108582.43224468105
685,New Castle Airport,KILG,105959.96028442391
209,Snohomish County (Paine Field) Airport,KPAE,105607.09505994622
595,Gwinnett County Briscoe Field,KLZU,102957.52150280164
55,University of Illinois Willard Airport,KCMI,102128.91339138483
198,Charlotte County Airport,KPGD,100825.05341773832
110,McClellan-Palomar Airport,KCRQ,98354.33248938782
311,Fresno Yosemite International Airport,KFAT,93036.87228053708
118,Sacramento International Airport,KSMF,92470.0485106854
307,Erie International Tom Ridge Field,KERI,92008.14581947729
173,Phoenix Deer Valley Airport,KDVT,91876.62091665197
367,Dallas Executive Airport,KRBD,91735.70567339838
371,Frederick Municipal Airport,KFDK,91670.37342806428
528,Phoenix Goodyear Airport,KGYR,90945.19216311589
369,Lewis University Airport,KLOT,90060.70550856306
105,La Guardia Airport,KLGA,88862.36814257677
407,Leesburg Executive Airport,KJYO,87583.7628311416
453,Lancaster Airport,KLNS,86110.82224247036
578,Buchanan Field,KCCR,85654.35693361993
358,Bowman Field,KLOU,85430.94206109544
77,Fort Lauderdale Executive Airport,KFXE,82341.01132203783
253,Martin State Airport,KMTN,80049.8951329933
445,Aurora State Airport,KUAO,78515.53236185877
71,Buffalo Niagara International Airport,KBUF,77965.53852611245
132,Southwest Florida International Airport,KRSW,77783.8313730533
86,Cincinnati Northern Kentucky International Airport,KCVG,77228.05032547258
284,Bellingham International Airport,KBLI,76846.05419563015
329,Carter Airport,FL57,76667.75177200952
73,Destin Executive Airport,KDTS,76219.13350055812
338,Austin Straubel International Airport,KGRB,76130.04446380858
758,Capital City Airport,KCXY,76068.27313864029
92,Cobb County International Airport-McCollum Field,KRYY,74922.81840887491
2137,Merrill Field,PAMR,74306.1126149266
336,Tyler Pounds Regional Airport,KTYR,73850.11448034574
235,Harrisburg International Airport,KMDT,73769.10200383933
320,Corpus Christi International Airport,KCRP,73586.31627569528
225,Denton Municipal Airport,KDTO,71839.82937626823
294,Wood County Airport,K1G0,71416.51155792634
124,Palm Springs International Airport,KPSP,70902.17980312667
182,Bob Hope Airport,KBUR,70485.12957780759
215,Venice Municipal Airport,KVNC,69958.49843053671
264,Waukegan National Airport,KUGN,69658.88542743857
289,Southern Wisconsin Regional Airport,KJVL,69621.53848143002
580,Sacramento Mather Airport,KMHR,69334.09070669857
133,Pensacola International Airport,KPNS,67477.8653516931
916,West Houston Airport,KIWS,66848.48181148736
1124,Whiting Field Naval Air Station - North,KNSE,66161.17336581176
648,Cleveland Municipal Airport,KRNV,65147.06887901808
202,Pueblo Memorial Airport,KPUB,64832.93185498021
242,Northeast Philadelphia Airport,KPNE,64806.89499609337
172,McAllen Miller International Airport,KMFE,64791.990593486065
334,Fort Wayne International Airport,KFWA,64533.994698722134
606,Cuyahoga County Airport,KCGF,63614.44095115179
386,Hayward Executive Airport,KHWD,63441.305635877026
401,Ellington Airport,KEFD,63282.6757454664
87,McClellan Airfield,KMCC,62876.27644188491
328,Charlottesville Albemarle Airport,KCHO,62267.70181526646
286,Republic Airport,KFRG,62013.31506211087
824,Willow Run Airport,KYIP,61989.50192344246
176,Montgomery-Gibbs Executive Airport,KMYF,61450.92192375227
493,Sacramento Executive Airport,KSAC,60978.1569772812
706,Fulton County Airport Brown Field,KFTY,60157.66589167766
1061,Monroe County Airport,KBMG,60070.37233953401
236,Stockton Metropolitan Airport,KSCK,59321.509309025576
880,Wings Field,KLOM,59125.235112642906
775,Eugene F. Kranz Toledo Express Airport,KTOL,58910.93546615441
370,Burlington Alamance Regional Airport,KBUY,58667.78928542229
1104,Parknavy Airport,0OH9,58001.52903684185
337,Hampton Roads Executive Airport,KPVG,57973.677739906445
361,Essex County Airport,KCDW,57453.03004345864
366,Pearson Field,KVUO,57100.45350786339
254,Huntsville International Carl T Jones Field,KHSV,56453.55369832161
263,Sanford-Lee County Regional Airport,KTTA,56260.098391523796
428,Middleton Municipal Morey Field,KC29,55897.77007496918
1346,Allentown Queen City Municipal Airport,KXLL,55478.718990689056
363,Renton Municipal Airport,KRNT,53930.129817540845
544,Jack Northrop Field Hawthorne Municipal Airport,KHHR,53727.4960677166
53,Seidel Ranch Airport,02XS,53701.73305721208
175,Tampa International Airport,KTPA,53317.78624261104
196,Randolph Air Force Base,KRND,53300.033364425166
736,Rickenbacker International Airport,KLCK,52260.08625475804
271,Boerne Stage Field,K5C1,51000.27220326391
178,Falcon Field,KFFZ,50997.01386018963
486,St Paul Downtown Holman Field,KSTP,50205.05769747068
210,Hagerstown Regional Richard A Henson Field,KHGR,49842.92595391086
502,DuBois Regional Airport,KDUJ,49818.44399934735
449,Austin Executive Airport,KEDC,49772.20188401675
423,Dayton-Wright Brothers Airport,KMGY,49738.60176004572
587,Felts Field,KSFF,49626.79781030147
653,Grand Prairie Municipal Airport,KGPM,49492.27051471254
513,Lenzner Farm Airport,7PS7,48640.12497122735
660,Beaver County Airport,KBVI,48537.245933391
807,Millard Airport,KMLE,48180.28169303375
2154,Clermont County Airport,KI69,48033.37110168799
62,Wing South Airpark,FA37,47842.4941501104
711,Livermore Municipal Airport,KLVK,47792.01000340572
1054,Decatur Airport,KDEC,47398.84001811083
240,Newport News Williamsburg International Airport,KPHF,46768.970877351494
692,Allegheny County Airport,KAGC,46710.43531329664
115,Wittman Regional Airport,KOSH,46258.87772543535
1056,Burke Lakefront Airport,KBKL,46131.663457567134
247,New Century Aircenter Airport,KIXD,45889.48099257662
348,Gary Chicago International Airport,KGYY,45368.29528068579
233,Appleton International Airport,KATW,44837.420618471966
437,Coeur D'Alene - Pappy Boyington Field,KCOE,44466.358518451845
1307,Bentonville Municipal-Louise M Thaden Field,KVBT,44382.412563925216
3158,Port Meadville Airport,KGKJ,43923.04331488436
842,Springdale Municipal Airport,KASG,43109.99724499177
1858,Clark Regional Airport,KJVY,42754.94569385435
429,Montgomery County Airpark,KGAI,42601.65518929918
167,Gillespie Field,KSEE,42510.85482728989
375,Prescott International Airport - Ernest A. Love Field,KPRC,42424.239799618765
78,Long Beach Airport (Daugherty Field),KLGB,42365.06548088024
395,Camarillo International Airport,KCMA,42004.64070325545
450,Bend Municipal Airport,KBDN,41926.77297493807
392,Norwood Memorial Airport,KOWD,41841.10189904916
762,Schaumburg Regional Airport,K06C,41743.506182263314
633,Kenosha Regional Airport,KENW,41619.886873944044
123,Garcon Field,24FL,41505.746450403705
295,Mesquite Metro Airport,KHQZ,40822.20233539788
1670,Gillespie County Airport,KT82,40727.3687908014
200,Palo Alto Airport of Santa Clara County,KPAO,40228.46038306074
161,Chandler Municipal Airport,KCHD,40196.96650873867
1178,Venango Regional Airport,KFKL,40080.63600680846
716,Creve Coeur Airport,K1H0,39965.42018367633
346,Weaver Airport,MT54,39887.882837642486
117,Henderson Executive Airport,KHND,39767.76697028073
25,Tai's Landing Airport,WN61,39710.7975164959
155,Cleveland Hopkins International Airport,KCLE,39606.36293442734
939,St Charles County Smartt Airport,KSET,39124.13804234467
2231,Smith Field,KSMD,38983.7693715488
1049,Lorain County Regional Airport,KLPR,38916.12434916169
1520,Hattiesburg Bobby L Chain Municipal Airport,KHBG,38712.75652261657
277,Salt Lake City International Airport,KSLC,38543.25602621827
140,Mac Dill Air Force Base,KMCF,38229.66698406735
1110,Ruckel Airport,FL17,38060.05741261674
1026,Metzler Airport,5PA3,37820.184253700696
1218,Hermon Farm Airport,SN59,36974.42950573096
749,Smyrna Airport,KMQY,36551.027938780135
156,San Luis County Regional Airport,KSBP,36414.190307979006
138,Colorado Air and Space Port,KFTG,36285.58817248922
589,Aero Country Airport,KT31,36182.868728927766
265,Lawrence Municipal Airport,KLWC,35964.09190573214
881,Moraine Air Park,KI73,35949.32714371605
1055,Nashua Airport / Boire Field,KASH,35711.903566614994
144,Ocala International Airport - Jim Taylor Field,KOCF,35673.375695397146
186,Northwest Arkansas Regional Airport,KXNA,35447.253717350184
218,Piedmont Triad International Airport,KGSO,35264.30577095448
377,Phil Cain Memorial Field,3PN9,35064.041337651266
318,Chesapeake Regional Airport,KCPK,34956.52268767076
530,San Marcos Regional Airport,KHYI,34690.6526851052
837,Yakima Air Terminal McAllister Field,KYKM,34273.57666936379
333,Long Island Mac Arthur Airport,KISP,33912.47300359468
1164,Naval Air Station Pensacola Forrest Sherman Field,KNPA,33792.52534070642
527,MBS International Airport,KMBS,33190.18315198296
300,Charles M. Schulz Sonoma County Airport,KSTS,33122.39798202745
201,Tucson International Airport / Morris Air National Guard Base,KTUS,33115.138584817876
1039,Grove City Airport,K29D,33109.02432964614
608,The Ohio State University Airport - Don Scott Field,KOSU,33070.98506987676
244,Theodore Francis Green State Airport,KPVD,33013.817105852046
297,Napa County Airport,KAPC,32752.92784948783
212,Northwest Regional Airport,K52F,32307.17423324107
596,Horace Williams Airport,KIGX,32250.365813280852
1002,Oakland Troy Airport,KVLL,31969.72731415217
1114,Nardo Airport,77PA,31844.247408267285
1743,Tangerine Airport,FL97,31642.02061002605
2209,Fricke Airport,OI34,31518.08960233729
141,Kansas City International Airport,KMCI,31271.339620205752
1431,Coleman A. Young Municipal Airport,KDET,30424.940522744466
252,San Carlos Airport,KSQL,29932.656060534373
291,Council Bluffs Municipal Airport,KCBF,29758.645816223157
220,Chicago Rockford International Airport,KRFD,29709.304639529546
184,Albert Whitted Airport,KSPG,29636.15354260642
321,Cherokee County Regional Airport,K47A,29612.641574083475
781,Norfolk Naval Station (Chambers Field),KNGU,29242.346796220365
869,Rogers Municipal Airport-Carter Field,KROG,29148.90843898033
262,Yates Airport,XS89,28848.53445845466
1007,Mount Horeb Field,06VA,28348.35699048635
114,Joint Base Andrews,KADW,28326.05737231289
179,Morgantown Municipal Airport Walter L. (Bill) Hart Field,KMGW,27313.12444240787
3379,Maury County Airport,KMRC,26927.453856888387
157,Ontario International Airport,KONT,26823.903768995486
1487,Fremont Municipal Airport,KFET,26723.672402210166
2765,Beluga Airport,PABG,26698.362260633738
514,Hicks Air Field,KT67,26585.08432638857
746,Grimes Field,KI74,26478.783276862145
107,Waukesha County Airport,KUES,26386.479371594578
440,St. Mary's County Regional Airport,K2W6,25995.068103491445
2324,Boone County Airport,K6I4,25982.795180937257
3146,Moorhead Airpark LLC,PN40,25860.043544040105
787,Carroll County Regional Jack B Poage Field,KDMW,25666.930886597016
643,Gainesville Municipal Airport,KGLE,24804.204113519434
890,Kestrel Airpark,K1T7,24612.017096167478
1036,Davison Army Air Field,KDAA,23746.699934667624
207,Lebanon Municipal Airport,KLEB,23654.09770915104
293,Santa Fe Municipal Airport,KSAF,23152.07365493311
339,Salinas Municipal Airport,KSNS,23105.146089254988
137,North Las Vegas Metropolitan International Airport,KVGT,22915.771673150775
292,Northern Colorado Regional Airport,KFNL,22879.481865289486
506,Lincoln Regional Karl Harder Field,KLHM,22852.916389487193
1034,Abernathy Field,KGZS,22846.57287482419
1364,Flying W Airport,KN14,22720.44873329948
3751,R & M Aviation Airport,4OI7,22432.771298598393
567,Indianapolis Executive Airport,KTYQ,22422.48069339792
1211,Pocono Mountains Municipal Airport,KMPO,22399.88712897085
352,Chester County G O Carlson Airport,KMQS,22378.883847324556
313,Pittsburgh International Airport,KPIT,22169.5939057358
536,Anderson Regional Airport,KAND,22045.658166493267
2254,Coles County Memorial Airport,KMTO,21999.316983965768
924,Madison County Executive Airport-Tom Sharp Jr Field,KMDQ,21894.286966082724
1492,Collins-Flege Airpark,77OH,21791.499193144427
94,Kissimmee Gateway Airport,KISM,21664.54240044431
1983,USAF Academy Airfield,KAFF,21557.275250948078
1083,Patuxent River Naval Air Station (Trapnell Field),KNHK,21452.112228508966
1424,Duke Field,KEGI,21385.73523413647
791,Samsula / Coe Field,8FA4,21370.86743337355
1167,Bob Sikes Airport,KCEW,21084.029438163743
1109,Sheboygan County Memorial Airport,KSBM,20770.441825404014
1251,Corpus Christi Naval Air Station/Truax Field,KNGP,20625.549865558987
458,Linden Airport,KLDJ,20488.039589113054
372,Somerset Airport,KSMQ,20353.950998128872
319,Cable Airport,KCCB,20193.96797724196
930,Davenport Municipal Airport,KDVN,20095.11335270851
261,Reid-Hillview Airport of Santa Clara County,KRHV,19956.944597075624
615,Houston Executive Airport,KTME,19718.83639471518
2069,Toledo Suburban Airport,KDUH,19686.0774923265
3311,Lake Norman Airpark,K14A,19683.151205957965
989,Cedarville Airport,MI18,19666.060567567063
259,North Perry Airport,KHWO,19531.50550497709
1276,Lawrence J Timmerman Airport,KMWC,19438.683201068296
1816,NAS Fort Worth JRB / Carswell Field,KNFW,19423.886121945656
249,Albany International Airport,KALB,19405.067802274603
1051,Downtown Airport,K3DW,19400.590233154428
933,Portland Troutdale Airport,KTTD,19375.485998323424
2659,Aero Estates Airport,7IS2,19354.703202208977
1099,Washington Executive Hyde Field,KW32,19336.515297328126
3170,Allenholm Airport,VT26,19266.274916138238
462,Santa Monica Municipal Airport,KSMO,19203.75913204218
710,Hickory Regional Airport,KHKY,19079.39115476878
537,Neil Armstrong Airport,KAXV,19025.98530196469
1081,Martha's Vineyard Airport,KMVY,18975.810569355443
659,Fresno Chandler Executive Airport,KFCH,18858.42561642935
214,Brandywine Regional Airport,KOQN,18789.472008378696
422,Sidney Municipal Airport,KI12,18736.968485010162
867,Gastonia Municipal Airport,KAKH,18730.167127852914
776,Saline Airport,68MI,18691.116241761858
257,Drake Field,KFYV,18656.883729634104
454,Casa Grande Municipal Airport,KCGZ,18643.399082677293
1386,Pearland Regional Airport,KLVJ,18473.007625820155
492,Flabob Airport,KRIR,18434.485054162447
1202,Chautauqua County-Jamestown Airport,KJHW,18385.547385110258
2481,Darke County Airport,KVES,18285.49682040285
1003,Walker Airport,7MI7,18257.325397600976
1632,Hawk Haven Airport,ID27,18188.345475491496
322,Destin-Fort Walton Beach Airport,KVPS,18046.28901060678
152,Aurora Municipal Airport,KARR,17846.992345307495
163,Whiteman Airport,KWHP,17788.240259691473
1331,Treasure Valley Executive Airport at Caldwell,KEUL,17681.30810423828
431,Harvey's Acres Airport,OR28,17637.9828728344
2504,Palmer Field,AL72,17546.534634256997
689,Arnold Palmer Regional Airport,KLBE,17408.44598806995
515,Valley International Airport,KHRL,17377.314214708425
1583,Kozal Airfield,76MI,17264.705077413986
229,Atlantic City International Airport,KACY,17122.151513371122
2604,Pryor Field Regional Airport,KDCU,17091.49802207882
575,Warren County Airport/John Lane Field,KI68,17058.98911881173
459,Indiana County/Jimmy Stewart Fld/ Airport,KIDI,16997.07788940747
1093,Harford County Airport,K0W3,16970.16884174662
915,Thompson Field,1TA7,16738.113174068112
80,Boyer Airport,63PA,16648.009749199115
414,Massey Ranch Airpark,KX50,16545.996931505935
1954,West Bend Municipal Airport,KETB,16531.693124269423
1160,South Valley International Airport,KU42,16468.057385102875
565,Saufley Naval Outlying Landing Field,KNUN,16287.566997355174
687,South Jersey Regional Airport,KVAY,16272.382144501516
714,Dubuque Regional Airport,KDBQ,16266.04797636646
1043,Cartersville Airport,KVPC,16135.907054219406
330,Jim & Julie's Airport,96WA,16080.213107883614
1139,Schwartz Farms Inc Airport,4FL8,16052.490778298452
838,Provo-Utah Lake International Airport,KPVU,15959.980324095784
281,Meadow Brook Airport,MD09,15837.144343046677
2175,Butler Co Regional Airport - Hogan Field,KHAO,15820.880034900198
2160,Lee's Summit Municipal Airport,KLXT,15799.619316424385
1802,Ball Airport,79NC,15721.22246523906
576,Monmouth Executive Airport,KBLM,15697.922746396453
251,Cunningham Airpark,TX09,15677.907937496926
858,Houston Southwest Airport,KAXH,15668.714718127405
3890,Kendallville Municipal Airport,KC62,15657.990449352568
802,Springfield-Beckley Municipal Airport,KSGH,15449.053179584482
892,Williamsport Airpark,SC86,15442.249993880008
1287,Lee Gilmer Memorial Airport,KGVL,15414.705630742304
599,Dover Air Force Base,KDOV,15330.9396371311
1236,Jo Na Acres Airport,TA03,15294.995199314995
350,Marana Regional Airport,KAVQ,15250.671811389284
649,Johnston Airport,9IS9,15073.549216902975
341,Central Illinois Regional Airport at Bloomington-Normal,KBMI,14994.283499654855
2427,Myers Field,01II,14992.500954432473
517,Millville Municipal Airport,KMIV,14980.966175494315
1861,Toledo Executive Airport,KTDZ,14945.371655543051
260,Pekin Municipal Airport,KC15,14929.386771519685
768,Rimes Lakecrest Airport,35FA,14794.171405303903
1028,Branham Mill Airpark,VG29,14764.867698376123
1619,Alfred C 'Bubba' Thomas Airport,KT69,14753.367214184465
3062,Lockhart Municipal Airport,K50R,14719.967474793422
568,Wausau Downtown Airport,KAUW,14515.011157304178
1594,Runway Ranch Airport,2MO9,14512.87101425538
1014,Culpeper Regional Airport,KCJR,14505.266529379702
