,n.name,n.code,score
1034,Chicago O'Hare International Airport,KORD,1173711.1206530894
1041,Hartsfield Jackson Atlanta International Airport,KATL,823727.9086911733
992,Dallas Fort Worth International Airport,KDFW,746815.6436945648
1074,Dallas Love Field,KDAL,700741.824398445
1051,McCarran International Airport,KLAS,681357.5268841801
1027,Philadelphia International Airport,KPHL,519149.78133118077
1082,Phoenix Sky Harbor International Airport,KPHX,514052.0367968314
1083,Teterboro Airport,KTEB,500167.596157427
1052,Baltimore/Washington International Thurgood Marshall Airport,KBWI,462998.58530418045
1099,Centennial Airport,KAPA,458227.8026869928
1126,Raleigh Durham International Airport,KRDU,456437.8181430915
1210,Addison Airport,KADS,450661.0524142332
1100,William P Hobby Airport,KHOU,441346.5944306047
4597,DeKalb Peachtree Airport,KPDK,436277.41602207284
1115,Chicago Midway International Airport,KMDW,426773.237160496
1084,Charlotte Douglas International Airport,KCLT,402774.859287787
993,Los Angeles International Airport,KLAX,378745.7284111517
1128,Fort Worth Meacham International Airport,KFTW,344236.3070593382
1110,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,337499.555769909
1152,San Antonio International Airport,KSAT,318883.64468029194
1260,Charles B. Wheeler Downtown Airport,KMKC,315251.2070711574
1071,Nashville International Airport,KBNA,308034.3265551111
1030,Miami International Airport,KMIA,306682.58814865816
1087,Fort Lauderdale Hollywood International Airport,KFLL,302778.53292437724
1118,Scottsdale Airport,KSDL,299953.28837481985
1010,Westchester County Airport,KHPN,299286.14211278205
1025,George Bush Intercontinental Houston Airport,KIAH,292495.7472032572
1079,Logan International Airport,KBOS,290623.1842160987
1058,Newark Liberty International Airport,KEWR,282043.6642419205
1237,Spirit of St Louis Airport,KSUS,280450.58693173074
1154,Louisville Muhammad Ali International Airport,KSDF,272527.2908533551
1102,John Wayne Airport-Orange County Airport,KSNA,266565.55000989384
1064,San Francisco International Airport,KSFO,262646.1076474922
1188,Boeing Field King County International Airport,KBFI,248364.6843756717
1070,Metropolitan Oakland International Airport,KOAK,247725.02204542301
1489,Chicago Executive Airport,KPWK,247387.7426492151
1497,Detroit Metropolitan Wayne County Airport,KDTW,246157.9381885654
1466,The Ohio State University Airport - Don Scott Field,KOSU,238728.22364954857
4574,Richard Lloyd Jones Jr Airport,KRVS,234569.78958333915
1044,St Louis Lambert International Airport,KSTL,232046.16733500743
1129,John Glenn Columbus International Airport,KCMH,230393.50416678088
1153,Washington Dulles International Airport,KIAD,227868.0759334476
1740,David Wayne Hooks Memorial Airport,KDWH,227050.62012606038
1141,Sarasota Bradenton International Airport,KSRQ,226483.06202884612
1124,Austin Bergstrom International Airport,KAUS,223762.96282029978
1088,Tampa International Airport,KTPA,222930.27999908998
1105,Denver International Airport,KDEN,206925.55536325905
1433,Sugar Land Regional Airport,KSGR,205724.36197559375
1042,Ted Stevens Anchorage International Airport,PANC,201840.68409776705
1121,Tulsa International Airport,KTUL,195267.77946343218
1031,Van Nuys Airport,KVNY,190888.16496857823
1190,Northwest Florida Beaches International Airport,KECP,187543.29676527472
1049,Norman Y. Mineta San Jose International Airport,KSJC,187489.21275590014
1136,Dane County Regional Truax Field,KMSN,182052.1049370292
1101,Eppley Airfield,KOMA,181041.44165777034
1073,Seattle Tacoma International Airport,KSEA,180077.0558946215
1151,Daytona Beach International Airport,KDAB,170673.7879834808
1213,McGhee Tyson Airport,KTYS,168302.71132729677
1050,Miami-Opa Locka Executive Airport,KOPF,168208.64002909113
1022,John F Kennedy International Airport,KJFK,164625.81528860336
4504,McKinney National Airport,KTKI,163236.3356780298
1369,Cincinnati Municipal Airport Lunken Field,KLUK,148394.0672282623
1175,Boise Air Terminal/Gowen Field,KBOI,145544.25524113068
1163,City of Colorado Springs Municipal Airport,KCOS,142948.467865005
1109,Portland International Airport,KPDX,140378.89405440824
1219,Oakland County International Airport,KPTK,138866.57431442378
1157,Rocky Mountain Metropolitan Airport,KBJC,138443.55646497972
1168,St Petersburg Clearwater International Airport,KPIE,135079.13374498463
1145,Laurence G Hanscom Field,KBED,132048.64936228684
1243,Gerald R. Ford International Airport,KGRR,128482.38885090372
1752,Dupage Airport,KDPA,125880.80169280243
1201,Lehigh Valley International Airport,KABE,125202.72427855314
1573,Flying Cloud Airport,KFCM,123071.32540229315
1158,Norfolk International Airport,KORF,121221.14006596085
1232,Frederick Douglass Greater Rochester International Airport,KROC,120157.02593873815
1223,Trenton Mercer Airport,KTTN,118043.2807907779
1047,La Guardia Airport,KLGA,113925.24185764333
1764,Fort Worth Alliance Airport,KAFW,113381.38054449177
1106,Destin Executive Airport,KDTS,109776.99523425169
1252,Fort Lauderdale Executive Airport,KFXE,108641.83570252964
1155,General Mitchell International Airport,KMKE,108468.62384341365
1120,Ronald Reagan Washington National Airport,KDCA,106400.5605069244
1203,Roanoke–Blacksburg Regional Airport,KROA,103848.0786256961
1965,San Marcos Regional Airport,KHYI,102572.61597339135
1419,Lincoln Airport,KLNK,102265.891729728
1076,Palm Springs International Airport,KPSP,101455.3303262055
1211,Manassas Regional Airport/Harry P. Davis Field,KHEF,100805.95885131492
1113,Page Field,KFMY,99764.95059713002
1408,Arlington Municipal Airport,KGKY,96843.91463595652
1173,Albuquerque International Sunport,KABQ,96409.19748061239
1482,Northeast Philadelphia Airport,KPNE,94143.89430529239
1122,Springfield Branson National Airport,KSGF,93502.70302992704
1395,St Louis Downtown Airport,KCPS,88286.04798456441
1174,Naples Municipal Airport,KAPF,87838.18134075067
1444,Gwinnett County Briscoe Field,KLZU,87081.01486907751
1684,Denton Municipal Airport,KDTO,84699.68556599623
1255,Morristown Municipal Airport,KMMU,83116.60189444807
1236,Cobb County International Airport-McCollum Field,KRYY,82798.97519828554
1077,San Diego International Airport,KSAN,80214.86486869771
1147,Bob Hope Airport,KBUR,76798.70758255389
1250,Dallas Executive Airport,KRBD,76740.47572477435
1135,Cincinnati Northern Kentucky International Airport,KCVG,76723.50263815065
1234,Abraham Lincoln Capital Airport,KSPI,76500.28832053537
1063,Buffalo Niagara International Airport,KBUF,76058.16043883613
1362,Republic Airport,KFRG,75461.97013826818
1198,Fulton County Airport Brown Field,KFTY,73997.755121535
1160,Phoenix–Mesa Gateway Airport,KIWA,73914.91773047525
1229,Pensacola International Airport,KPNS,73457.07463770159
1183,Harrisburg International Airport,KMDT,72325.59771687866
1060,McClellan-Palomar Airport,KCRQ,72091.16493865161
1273,Columbia Metropolitan Airport,KCAE,71525.31564571422
4618,Crystal Airport,KMIC,70682.56318458734
1196,Snohomish County (Paine Field) Airport,KPAE,69104.35644431312
1040,Sacramento International Airport,KSMF,67399.9254019802
1295,Austin Straubel International Airport,KGRB,66442.96005151061
1095,Ocala International Airport - Jim Taylor Field,KOCF,66273.37945310272
1167,Waukegan National Airport,KUGN,66268.69362852126
2020,Boerne Stage Field,K5C1,65581.4171071854
1264,Lancaster Airport,KLNS,64158.04088201021
2733,West Houston Airport,KIWS,63801.13330511763
1277,Essex County Airport,KCDW,63474.73416199355
1134,Falcon Field,KFFZ,63222.79768920219
1391,Fresno Yosemite International Airport,KFAT,63039.150743528444
1242,Martin State Airport,KMTN,62727.923963659254
1309,Sacramento Executive Airport,KSAC,61009.00688792613
1180,Phoenix Deer Valley Airport,KDVT,57933.2043485188
1821,Southern Wisconsin Regional Airport,KJVL,57879.61745926558
1130,North Las Vegas Metropolitan International Airport,KVGT,57045.36724340684
1329,New Castle Airport,KILG,56963.24495409912
4630,DuBois Regional Airport,KDUJ,56524.14640528512
1411,Lewis University Airport,KLOT,55703.495271139676
1515,Portland Hillsboro Airport,KHIO,55573.030671605884
1364,Gainesville Municipal Airport,KGLE,55521.05812832096
1786,Reading Regional Airport (Carl A Spaatz Field),KRDG,55171.06471733206
4505,Buchanan Field,KCCR,54465.440336950094
1197,Hayward Executive Airport,KHWD,53703.618652562196
1380,Bowman Field,KLOU,52748.4357873785
4577,Yakima Air Terminal McAllister Field,KYKM,52496.27065199074
1956,Rogers Municipal Airport-Carter Field,KROG,52371.16232919453
3055,Eugene F. Kranz Toledo Express Airport,KTOL,51897.98728157489
1159,San Luis County Regional Airport,KSBP,51831.24760725712
2251,Lake in the Hills Airport,K3CK,51805.80960050014
1319,Appleton International Airport,KATW,51768.89177717898
1479,Tyler Pounds Regional Airport,KTYR,50876.017959919
1275,Jack Northrop Field Hawthorne Municipal Airport,KHHR,50873.20518624785
1353,Purdue University Airport,KLAF,50795.43253091286
4623,Johnson County Executive Airport,KOJC,50667.58839532069
1023,Henderson Executive Airport,KHND,50096.047893595576
1406,Middleton Municipal Morey Field,KC29,49753.67151956254
1148,James M Cox Dayton International Airport,KDAY,49606.5907346773
2253,Telluride Regional Airport,KTEX,48811.442695426704
1176,South Valley International Airport,KU42,48677.802692534344
4588,Pearson Field,KVUO,47546.28430239818
1345,Grand Prairie Municipal Airport,KGPM,47427.172721195886
1142,Yates Airport,XS89,46985.12808148482
1116,Venice Municipal Airport,KVNC,46762.03664162642
1342,Rickenbacker International Airport,KLCK,46661.304337142414
1285,Millard Airport,KMLE,46627.13122797951
1199,Camarillo International Airport,KCMA,46027.7619698722
4595,Springdale Municipal Airport,KASG,45495.206599150646
1687,Montgomery County Airpark,KGAI,45310.83354979808
1235,Gillespie Field,KSEE,44955.823808840716
1534,Council Bluffs Municipal Airport,KCBF,44844.61551026278
1402,Hickory Regional Airport,KHKY,44681.69431875162
1205,Livermore Municipal Airport,KLVK,44544.06784611043
1405,Albert Whitted Airport,KSPG,44352.39254336137
1185,Cleveland Hopkins International Airport,KCLE,44256.56443347384
1323,Pueblo Memorial Airport,KPUB,43985.89699473972
1762,Leesburg Executive Airport,KJYO,43869.6732227294
2500,Coeur D'Alene - Pappy Boyington Field,KCOE,43680.84587764142
1627,Long Island Mac Arthur Airport,KISP,42111.05379074821
1119,Seidel Ranch Airport,02XS,41665.8766835176
1512,Mesquite Metro Airport,KHQZ,41321.98403091502
1606,Fort Wayne International Airport,KFWA,41293.69622193607
1244,Phoenix Goodyear Airport,KGYR,41203.728920152535
1737,Cuyahoga County Airport,KCGF,41004.33924165557
1505,Schaumburg Regional Airport,K06C,40838.73230934895
1470,Dayton-Wright Brothers Airport,KMGY,40787.05505119618
