,n.name,n.code,score
4489,Chicago O'Hare International Airport,KORD,1556004.6214508985
4513,Hartsfield Jackson Atlanta International Airport,KATL,840981.3465865821
4594,Dallas Fort Worth International Airport,KDFW,795371.4065925517
4608,Raleigh Durham International Airport,KRDU,655694.2864225914
4558,Phoenix Sky Harbor International Airport,KPHX,590040.7655321612
4514,Baltimore/Washington International Thurgood Marshall Airport,KBWI,562048.8435427288
4567,Philadelphia International Airport,KPHL,549785.3130107764
4550,Washington Dulles International Airport,KIAD,542931.7924475139
4605,Centennial Airport,KAPA,441675.7124235549
4534,William P Hobby Airport,KHOU,438859.5921967231
4604,Dallas Love Field,KDAL,426297.4686728509
4515,Los Angeles International Airport,KLAX,418622.939540912
4588,Charlotte Douglas International Airport,KCLT,401386.79588474816
4516,Teterboro Airport,KTEB,390923.81865914474
4552,Logan International Airport,KBOS,390846.59746202646
4524,Fort Lauderdale Hollywood International Airport,KFLL,386206.03618140134
4566,DeKalb Peachtree Airport,KPDK,349911.3041476945
4559,Seattle Tacoma International Airport,KSEA,334495.9945660301
4636,Sarasota Bradenton International Airport,KSRQ,330050.237068915
111,Addison Airport,KADS,326348.4049547707
4712,Boeing Field King County International Airport,KBFI,326012.4121521276
4510,Denver International Airport,KDEN,326002.4104248718
4523,Ted Stevens Anchorage International Airport,PANC,325775.6407760654
4570,Nashville International Airport,KBNA,314482.6522203052
4573,Portland International Airport,KPDX,310395.7629859808
4533,Scottsdale Airport,KSDL,304845.72205914516
4630,Naples Municipal Airport,KAPF,299956.71212254505
225,Charles B. Wheeler Downtown Airport,KMKC,295281.5645474829
4615,George Bush Intercontinental Houston Airport,KIAH,289298.94806366484
4592,McCarran International Airport,KLAS,280455.6066996482
4600,Chicago Executive Airport,KPWK,267100.6306927974
4593,St Louis Lambert International Airport,KSTL,256786.89979364886
4557,San Francisco International Airport,KSFO,254031.18398926363
4496,Newark Liberty International Airport,KEWR,248780.40768131637
4564,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,241982.31598628493
4651,Westchester County Airport,KHPN,239829.25223625006
4599,John Wayne Airport-Orange County Airport,KSNA,239571.87211467983
4722,Oakland County International Airport,KPTK,234137.4673393002
4546,Louisville Muhammad Ali International Airport,KSDF,226971.20203207174
4688,Snohomish County (Paine Field) Airport,KPAE,221792.0809337602
4571,Metropolitan Oakland International Airport,KOAK,209616.04247407292
4580,Dane County Regional Truax Field,KMSN,208203.14515064243
4540,Page Field,KFMY,205700.70018181225
137,Portland Hillsboro Airport,KHIO,205319.1319316684
4521,Miami International Airport,KMIA,204111.51739373387
