,n.name,n.code,score
51,Charlotte Douglas International Airport,KCLT,1049624.089740952
78,Chicago O'Hare International Airport,KORD,1042311.5887329718
16,Dallas Fort Worth International Airport,KDFW,1029607.2977231615
543,DeKalb Peachtree Airport,KPDK,972341.7642155425
152,Centennial Airport,KAPA,914242.747197385
52,Dallas Love Field,KDAL,823132.3349133778
67,Indianapolis International Airport,KIND,810177.5894690119
121,Addison Airport,KADS,777095.8416169526
70,Baltimore/Washington International Thurgood Marshall Airport,KBWI,670962.1683475067
24,Ted Stevens Anchorage International Airport,PANC,666085.8111809847
68,Chicago Midway International Airport,KMDW,619646.0167708584
183,Raleigh Durham International Airport,KRDU,606250.8309078482
143,Fort Worth Meacham International Airport,KFTW,595326.3197808752
66,Spirit of St Louis Airport,KSUS,551308.0926487008
82,Phoenix Sky Harbor International Airport,KPHX,540409.634470436
74,Nashville International Airport,KBNA,540366.9915818163
85,Washington Dulles International Airport,KIAD,537688.0325877888
76,Chicago Executive Airport,KPWK,519141.2431572076
562,Flying Cloud Airport,KFCM,512304.1316859707
215,Scottsdale Airport,KSDL,502941.5426927151
90,Westchester County Airport,KHPN,497956.64969062153
27,Louisville Muhammad Ali International Airport,KSDF,492556.6000024148
115,Philadelphia International Airport,KPHL,484690.89957453986
198,Charles B. Wheeler Downtown Airport,KMKC,479632.4526548054
36,Hartsfield Jackson Atlanta International Airport,KATL,478447.4083276865
194,Boeing Field King County International Airport,KBFI,475645.6917638868
65,McCarran International Airport,KLAS,470758.03195961326
54,Austin Bergstrom International Airport,KAUS,458025.132332912
227,Cincinnati Municipal Airport Lunken Field,KLUK,419546.8979343906
96,John Wayne Airport-Orange County Airport,KSNA,408205.2246304677
34,Seattle Tacoma International Airport,KSEA,399570.12994496606
216,San Antonio International Airport,KSAT,376714.15895647224
25,Teterboro Airport,KTEB,370734.0561999428
134,Eppley Airfield,KOMA,356073.75712207827
53,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,342791.12999658607
237,Northwest Florida Beaches International Airport,KECP,336269.8282316855
144,Van Nuys Airport,KVNY,332749.56052957964
190,Richard Lloyd Jones Jr Airport,KRVS,326646.8000009916
47,Metropolitan Oakland International Airport,KOAK,323420.16184059746
113,Dupage Airport,KDPA,322861.6047272642
46,Los Angeles International Airport,KLAX,319283.51838270127
37,Sarasota Bradenton International Airport,KSRQ,316455.6048148587
210,Dane County Regional Truax Field,KMSN,306545.0247411911
99,John Glenn Columbus International Airport,KCMH,297344.9679616487
57,St Louis Lambert International Airport,KSTL,289612.39980921894
489,Laurence G Hanscom Field,KBED,279449.97995843476
44,Logan International Airport,KBOS,273176.34685118485
89,McGhee Tyson Airport,KTYS,272221.7022967518
173,McKinney National Airport,KTKI,268245.5272678465
137,Naples Municipal Airport,KAPF,262835.1358789229
94,Fort Lauderdale Hollywood International Airport,KFLL,260014.3923330545
231,Page Field,KFMY,255485.30192670538
102,Oakland County International Airport,KPTK,253817.13375230393
1086,Destin Executive Airport,KDTS,245016.27184667054
86,St Petersburg Clearwater International Airport,KPIE,244326.51195296578
275,Norman Y. Mineta San Jose International Airport,KSJC,242160.15537429453
151,William P Hobby Airport,KHOU,241974.69567753893
547,Frederick Douglass Greater Rochester International Airport,KROC,240789.4212398389
9,St Louis Downtown Airport,KCPS,238546.68082326325
261,Boise Air Terminal/Gowen Field,KBOI,237467.10326313024
38,Miami International Airport,KMIA,221058.05124246466
242,New Castle Airport,KILG,219434.04618033627
55,Portland International Airport,KPDX,216949.40814555014
325,Leesburg Executive Airport,KJYO,215397.86440973956
448,Denton Municipal Airport,KDTO,209653.1979060991
840,Eagle Creek Airpark,KEYE,204467.82213261988
59,Rocky Mountain Metropolitan Airport,KBJC,203830.2575332093
161,Tulsa International Airport,KTUL,202050.58833481662
40,Detroit Metropolitan Wayne County Airport,KDTW,197054.70390943956
304,Buffalo Niagara International Airport,KBUF,193380.00599421235
946,Fort Worth Alliance Airport,KAFW,189151.71502255334
286,Johnson County Executive Airport,KOJC,181758.3203233767
48,Cobb County International Airport-McCollum Field,KRYY,181755.8880390653
282,Lancaster Airport,KLNS,176522.4044151242
494,San Marcos Regional Airport,KHYI,175801.9201134401
80,Lehigh Valley International Airport,KABE,173684.2742858739
160,Morristown Municipal Airport,KMMU,173569.89705347322
43,Martin State Airport,KMTN,170788.32437794982
192,Bowman Field,KLOU,168321.91091169324
81,Lincoln Airport,KLNK,162864.38319023445
97,Ronald Reagan Washington National Airport,KDCA,159467.3409862079
239,Dayton-Wright Brothers Airport,KMGY,158878.5940003924
60,Albuquerque International Sunport,KABQ,155514.40051464812
157,Gwinnett County Briscoe Field,KLZU,151646.75785331294
908,The Ohio State University Airport - Don Scott Field,KOSU,150819.0001279633
316,Southern Wisconsin Regional Airport,KJVL,150482.97180494576
23,San Francisco International Airport,KSFO,149659.17627226663
63,City of Colorado Springs Municipal Airport,KCOS,149311.24138136936
491,Frederick Municipal Airport,KFDK,147001.70696133882
33,Norfolk International Airport,KORF,145067.52438440136
498,Arlington Municipal Airport,KGKY,143513.3012014773
35,Miami-Opa Locka Executive Airport,KOPF,141971.3696091807
934,Springfield Branson National Airport,KSGF,138270.74055825648
746,Creve Coeur Airport,K1H0,136980.125100617
132,Republic Airport,KFRG,134895.70618332824
174,General Mitchell International Airport,KMKE,133621.10306168563
265,Abraham Lincoln Capital Airport,KSPI,132268.8949287725
100,Manassas Regional Airport/Harry P. Davis Field,KHEF,131870.92234933432
64,Cincinnati Northern Kentucky International Airport,KCVG,127840.68886351073
207,Phoenix Deer Valley Airport,KDVT,123624.08235869755
95,Reno Tahoe International Airport,KRNO,123117.07889954628
101,Denver International Airport,KDEN,119271.93403408931
79,Portland Hillsboro Airport,KHIO,116943.49311467329
500,Austin Straubel International Airport,KGRB,116603.66481608176
140,Fort Lauderdale Executive Airport,KFXE,113530.84166698963
726,Orlando Executive Airport,KORL,112297.88461134846
312,Syracuse Hancock International Airport,KSYR,109999.63286732792
891,Indianapolis Executive Airport,KTYQ,108326.15302936795
18,John F Kennedy International Airport,KJFK,107490.73037815241
763,University of Illinois Willard Airport,KCMI,107252.68655091175
179,Willow Run Airport,KYIP,106888.92331711209
204,Merrill Field,PAMR,105983.91108132269
130,Fresno Yosemite International Airport,KFAT,104832.17590809183
162,Snohomish County (Paine Field) Airport,KPAE,103279.21632743026
220,Middleton Municipal Morey Field,KC29,101069.42879857756
300,Charlotte County Airport,KPGD,99653.50743433712
660,Gainesville Regional Airport,KGNV,98821.35198603781
163,McClellan-Palomar Airport,KCRQ,97933.69903436453
254,Wings Field,KLOM,97903.72348087751
322,Northeast Philadelphia Airport,KPNE,97508.74813554702
916,Waukegan National Airport,KUGN,96913.47667118767
103,Kissimmee Gateway Airport,KISM,96403.0068647372
150,Mason City Municipal Airport,KMCW,94796.37660303505
320,Carter Airport,FL57,94426.84334036814
84,San Diego International Airport,KSAN,93266.88842695739
271,Waukesha County Airport,KUES,91806.16665127264
98,Newark Liberty International Airport,KEWR,91708.70410433991
184,Daytona Beach International Airport,KDAB,90856.29288804841
603,Lee's Summit Municipal Airport,KLXT,88685.82329308327
849,Crystal Airport,KMIC,87427.00367061533
621,Aurora State Airport,KUAO,87226.3149119877
460,Dallas Executive Airport,KRBD,87219.88888426832
32,Bob Hope Airport,KBUR,87026.77778255119
180,Appleton International Airport,KATW,86862.91683363715
405,New Century Aircenter Airport,KIXD,86206.17297521594
42,Sacramento International Airport,KSMF,85454.26985243204
243,Phoenix–Mesa Gateway Airport,KIWA,85360.29990413526
610,St. Mary's County Regional Airport,K2W6,84989.48129342012
83,Pensacola International Airport,KPNS,84912.0151739673
277,McAllen Miller International Airport,KMFE,83667.11880503932
108,Clark Regional Airport,KJVY,83159.81169766528
506,Fulton County Airport Brown Field,KFTY,82366.52811027555
681,Harrisburg International Airport,KMDT,82293.66439552582
425,Whiting Field Naval Air Station - North,KNSE,82163.39624803657
147,Ontario International Airport,KONT,81548.69410175263
408,McClellan Airfield,KMCC,81004.45475108633
650,Boerne Stage Field,K5C1,79834.13080215534
195,Gillespie Field,KSEE,79539.13728633783
109,Venice Municipal Airport,KVNC,78688.77984137669
374,Lake in the Hills Airport,K3CK,78596.09037806164
12,Capital City Airport,KCXY,77690.8447194738
518,Ocala International Airport - Jim Taylor Field,KOCF,77536.5062585838
1117,St Paul Downtown Holman Field,KSTP,77522.31838929602
178,Santa Fe Municipal Airport,KSAF,75931.98160360551
1674,Sheboygan County Memorial Airport,KSBM,75388.11710897835
281,Martha's Vineyard Airport,KMVY,75074.49556046566
690,Northwest Regional Airport,K52F,74993.72091532823
263,Henderson Executive Airport,KHND,74399.6463248552
146,Chicago Rockford International Airport,KRFD,73929.65138066535
241,Hagerstown Regional Richard A Henson Field,KHGR,73385.46693677368
158,Sacramento Mather Airport,KMHR,73113.76244871129
141,Tucson International Airport / Morris Air National Guard Base,KTUS,72933.80622750233
1226,Montgomery County Airpark,KGAI,72765.03273512116
446,Long Island Mac Arthur Airport,KISP,72348.9170462943
240,Essex County Airport,KCDW,72232.06902001309
402,Lewis University Airport,KLOT,71813.41725082685
428,Trenton Mercer Airport,KTTN,71365.25919015877
238,Livermore Municipal Airport,KLVK,71310.39121820725
296,Sacramento Executive Airport,KSAC,70858.9172911714
272,Kenosha Regional Airport,KENW,70618.13192834226
392,Pearson Field,KVUO,69554.81634741345
2318,Cleveland Municipal Airport,KRNV,69161.44680245206
349,Burlington Alamance Regional Airport,KBUY,68961.64656656154
138,Indy South Greenwood Airport,KHFY,67479.4645483702
250,Sanford-Lee County Regional Airport,KTTA,67120.09116186888
153,Long Beach Airport (Daugherty Field),KLGB,66767.40746473063
702,Yakima Air Terminal McAllister Field,KYKM,65359.35361377322
213,Buchanan Field,KCCR,64730.379124500876
280,Santa Barbara Municipal Airport,KSBA,64669.56141135252
211,Southwest Florida International Airport,KRSW,64540.25580206928
1076,Monmouth Executive Airport,KBLM,64108.869408361585
258,Aurora Municipal Airport,KARR,64022.74137738736
816,Millard Airport,KMLE,63623.102738736656
722,Davenport Municipal Airport,KDVN,63462.53953028501
792,Gainesville Municipal Airport,KGLE,63139.913773815315
1169,Canal Fulton Airport,7OH2,62670.90034147946
248,Ann Arbor Municipal Airport,KARB,62477.505155621846
780,Clermont County Airport,KI69,62307.69623498583
