,n.name,n.code,score
3322,Dallas Fort Worth International Airport,KDFW,810593.1428169167
3250,Chicago O'Hare International Airport,KORD,801743.2197428196
3311,Phoenix Sky Harbor International Airport,KPHX,616542.0901595639
3264,Hartsfield Jackson Atlanta International Airport,KATL,577306.2823192818
3295,Dallas Love Field,KDAL,516542.70988233446
3466,DeKalb Peachtree Airport,KPDK,512745.8942962343
3453,Charlotte Douglas International Airport,KCLT,508501.0990570307
3256,Philadelphia International Airport,KPHL,467089.5126292687
3306,Addison Airport,KADS,460280.38070773846
3259,Baltimore/Washington International Thurgood Marshall Airport,KBWI,447267.5153892927
3253,Louisville Muhammad Ali International Airport,KSDF,442660.3154796817
3427,Raleigh Durham International Airport,KRDU,363756.93780976295
3297,Washington Dulles International Airport,KIAD,361736.3214648557
3255,Ted Stevens Anchorage International Airport,PANC,342524.308844102
3362,Boeing Field King County International Airport,KBFI,327170.44423075416
3317,William P Hobby Airport,KHOU,323246.8246031019
3321,Centennial Airport,KAPA,318280.766686942
3287,Seattle Tacoma International Airport,KSEA,316898.2479221305
3364,Scottsdale Airport,KSDL,289176.12391237513
3265,Denver International Airport,KDEN,271036.5071876276
3836,Fort Worth Meacham International Airport,KFTW,262675.72870805045
3278,Chicago Midway International Airport,KMDW,254417.195838205
3327,San Antonio International Airport,KSAT,229752.71830221935
3862,Flying Cloud Airport,KFCM,228740.92901148877
3275,Los Angeles International Airport,KLAX,218804.97902850932
3262,Logan International Airport,KBOS,199556.27343019674
3567,Charles B. Wheeler Downtown Airport,KMKC,194486.44920905758
3909,Spirit of St Louis Airport,KSUS,188167.78632634206
3291,Portland International Airport,KPDX,187999.8918326664
3314,George Bush Intercontinental Houston Airport,KIAH,187106.2086340011
3276,Norman Y. Mineta San Jose International Airport,KSJC,183997.16263967616
3377,Portland Hillsboro Airport,KHIO,181088.0539676413
3396,David Wayne Hooks Memorial Airport,KDWH,179431.28885959796
3316,Detroit Metropolitan Wayne County Airport,KDTW,175442.87564910506
3526,Tulsa International Airport,KTUL,174162.59825197523
3357,St Louis Lambert International Airport,KSTL,168997.62958890517
3395,John Wayne Airport-Orange County Airport,KSNA,161745.32513961548
3341,General Mitchell International Airport,KMKE,161149.7295474225
3363,McGhee Tyson Airport,KTYS,160364.8959829666
3299,Metropolitan Oakland International Airport,KOAK,158653.44476097717
3315,Richard Lloyd Jones Jr Airport,KRVS,155945.77084141228
3349,Eppley Airfield,KOMA,151434.0426692579
3352,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,146360.72978197946
3370,Frederick Douglass Greater Rochester International Airport,KROC,143697.5692228247
3304,Nashville International Airport,KBNA,140987.36358021336
3330,Dane County Regional Truax Field,KMSN,140111.24824161056
3564,Sarasota Bradenton International Airport,KSRQ,139254.43186585355
3465,Cincinnati Municipal Airport Lunken Field,KLUK,132945.34565181835
3381,Albuquerque International Sunport,KABQ,126113.55324430249
3794,Dupage Airport,KDPA,125035.69732342356
3269,Fort Lauderdale Hollywood International Airport,KFLL,121869.58944103643
3689,Chicago Executive Airport,KPWK,121269.32561601282
3318,Snohomish County (Paine Field) Airport,KPAE,116290.5773735215
3391,Northwest Florida Beaches International Airport,KECP,112591.43153760153
3562,McKinney National Airport,KTKI,109207.855288318
3333,Austin Bergstrom International Airport,KAUS,108027.10132996208
3313,Naples Municipal Airport,KAPF,103928.00484842146
3369,John Glenn Columbus International Airport,KCMH,103641.88983240057
3301,Oakland County International Airport,KPTK,101404.08314581469
3454,Lincoln Airport,KLNK,100516.20682644406
3298,Ronald Reagan Washington National Airport,KDCA,99659.63053799284
3382,Boise Air Terminal/Gowen Field,KBOI,97607.03852114969
3325,Miami International Airport,KMIA,95122.99530748355
3459,Republic Airport,KFRG,94912.43267436199
3283,McCarran International Airport,KLAS,94607.94533884681
3783,Pensacola International Airport,KPNS,92600.78161565303
3263,John F Kennedy International Airport,KJFK,92529.40327529405
3360,Sacramento International Airport,KSMF,92150.44630796807
3329,Rocky Mountain Metropolitan Airport,KBJC,92010.07402557998
3273,San Francisco International Airport,KSFO,91965.44984414455
3660,Lenzner Farm Airport,7PS7,91176.20002373242
3509,Manassas Regional Airport/Harry P. Davis Field,KHEF,89320.21412463777
3809,Morristown Municipal Airport,KMMU,88486.86393150956
3477,Merrill Field,PAMR,88115.11003786998
3245,St Petersburg Clearwater International Airport,KPIE,88066.13809751719
3271,Laurence G Hanscom Field,KBED,86184.02492275558
3324,Long Beach Airport (Daugherty Field),KLGB,85394.05235197528
3677,Page Field,KFMY,84954.88275722243
3393,Sacramento Mather Airport,KMHR,80957.25152197106
3713,Appleton International Airport,KATW,80785.22748788234
3451,West Houston Airport,KIWS,80769.71515885727
3371,Teterboro Airport,KTEB,79579.5456824215
3244,Arlington Municipal Airport,KGKY,77834.02965708339
3488,Burlington Alamance Regional Airport,KBUY,77693.90567908525
3355,Gwinnett County Briscoe Field,KLZU,77139.03888046087
3252,Denton Municipal Airport,KDTO,76351.37585930008
3755,Dallas Executive Airport,KRBD,75116.59456014111
3742,Johnson County Executive Airport,KOJC,75051.47588762763
3284,Phoenix Deer Valley Airport,KDVT,73240.03379737445
3590,Leesburg Executive Airport,KJYO,72187.46778449576
3361,Westchester County Airport,KHPN,71784.7132767023
3718,New Castle Airport,KILG,69408.10324887982
3285,Orlando Executive Airport,KORL,68889.23139794524
3964,St Louis Downtown Airport,KCPS,68147.06539857692
3272,Cincinnati Northern Kentucky International Airport,KCVG,67855.82893754743
3633,Whiting Field Naval Air Station - North,KNSE,66574.23872630381
3310,Lehigh Valley International Airport,KABE,65410.06303220913
37,Bowman Field,KLOU,64930.90372430329
3481,Grand Prairie Municipal Airport,KGPM,64479.056110636215
3323,Portland Troutdale Airport,KTTD,64381.53230827726
3351,Martin State Airport,KMTN,64319.56505240954
3474,City of Colorado Springs Municipal Airport,KCOS,63917.15071381724
3845,Abraham Lincoln Capital Airport,KSPI,63621.42743841715
3521,Kissimmee Gateway Airport,KISM,63430.21286167874
544,St Louis Regional Airport,KALN,63189.5537168892
3708,Concord-Padgett Regional Airport,KJQF,62864.767993736255
3326,Phoenix–Mesa Gateway Airport,KIWA,62719.44852165831
3375,Sugar Land Regional Airport,KSGR,62534.835267431015
3752,Carter Airport,FL57,61895.86032439071
3639,Austin Straubel International Airport,KGRB,61860.68637529019
3908,Fort Worth Alliance Airport,KAFW,61557.69568403272
3398,Van Nuys Airport,KVNY,61038.81448342556
3706,Cobb County International Airport-McCollum Field,KRYY,61036.006186308405
3365,Yakima Air Terminal McAllister Field,KYKM,60087.301369773064
3969,Norfolk International Airport,KORF,58905.71069736512
3288,Fresno Yosemite International Airport,KFAT,57979.175445661116
3279,Southwest Florida International Airport,KRSW,57948.83429028413
3344,Miami-Opa Locka Executive Airport,KOPF,57720.78669810508
543,Destin Executive Airport,KDTS,57318.34296610958
3674,Allegheny County Airport,KAGC,56655.10986389867
4006,Lancaster Airport,KLNS,56337.21904027973
3808,Roanoke–Blacksburg Regional Airport,KROA,56085.32121491413
106,Kenosha Regional Airport,KENW,53144.617961618365
3682,Charlotte County Airport,KPGD,52173.24159644725
3818,Garcon Field,24FL,51353.07674713175
3586,Mesquite Metro Airport,KHQZ,49019.21476626336
3457,Falcon Field,KFFZ,48351.37934329075
3378,Harrisburg International Airport,KMDT,48330.59766005381
3296,Chicago Rockford International Airport,KRFD,47326.8124694427
3320,San Diego International Airport,KSAN,46668.250199928174
3401,Daytona Beach International Airport,KDAB,46615.29221091074
3958,Essex County Airport,KCDW,46593.486282377635
3411,Millard Airport,KMLE,46529.66772838621
3425,McClellan Airfield,KMCC,46099.1644624822
4014,Hickory Regional Airport,KHKY,45825.42290062032
3270,Coeur D'Alene - Pappy Boyington Field,KCOE,45261.485190635016
3672,Hagerstown Regional Richard A Henson Field,KHGR,44755.79077498979
3729,Trenton Mercer Airport,KTTN,44683.713067306104
3346,Bob Hope Airport,KBUR,44630.702829098984
3489,Boerne Stage Field,K5C1,44385.88642500458
3922,Springfield Branson National Airport,KSGF,44302.914931919295
3952,Albert Whitted Airport,KSPG,44133.66827415723
158,Lee's Summit Municipal Airport,KLXT,43896.17044808357
3637,Tyler Pounds Regional Airport,KTYR,43864.41248425622
3280,Ellington Airport,KEFD,43477.606604486675
3507,Austin Executive Airport,KEDC,42922.57796605451
3921,Napa County Airport,KAPC,42762.34248078509
3312,Kansas City International Airport,KMCI,42755.29955245827
30,Sanford-Lee County Regional Airport,KTTA,42717.22744402489
3423,Chesapeake Regional Airport,KCPK,42085.728915756736
3372,McClellan-Palomar Airport,KCRQ,41869.917690560054
17,Cherokee County Regional Airport,K47A,41792.657643802086
3348,Piedmont Triad International Airport,KGSO,41733.60783367162
644,Saint Cloud Regional Airport,KSTC,41665.44385333712
3452,San Luis County Regional Airport,KSBP,40937.402163712344
278,Felts Field,KSFF,40198.55871376381
4022,Dayton-Wright Brothers Airport,KMGY,39936.877400279904
3656,Fort Lauderdale Executive Airport,KFXE,39682.180049502844
3896,South Jersey Regional Airport,KVAY,39305.60195766553
5,Middleton Municipal Morey Field,KC29,39203.326404728636
3814,Northeast Philadelphia Airport,KPNE,39032.15055613907
732,Lewis University Airport,KLOT,39021.03651565174
3281,Buffalo Niagara International Airport,KBUF,39017.487839326146
3973,DuBois Regional Airport,KDUJ,38808.20694455276
3554,University of Illinois Willard Airport,KCMI,38619.800395174105
3303,Gastonia Municipal Airport,KAKH,38530.395410685254
611,Statesville Regional Airport,KSVH,38447.98020276229
3962,Allentown Queen City Municipal Airport,KXLL,37905.977937280215
3406,Renton Municipal Airport,KRNT,37728.81466987386
3379,Hayward Executive Airport,KHWD,37593.304241326725
4040,Canal Fulton Airport,7OH2,37521.369301596555
3835,San Marcos Regional Airport,KHYI,37506.953080967185
3777,Pueblo Memorial Airport,KPUB,36937.45973938379
3705,McAllen Miller International Airport,KMFE,36766.39954522799
3620,Pittsburgh/Butler Regional Airport,KBTP,36745.802438217084
3711,Oconee Memorial Hospital Heliport,SC32,36299.238008577944
39,Crystal Airport,KMIC,35853.65340678333
3342,Tucson International Airport / Morris Air National Guard Base,KTUS,35639.202344949554
3307,James M Cox Dayton International Airport,KDAY,35626.5100743414
311,Peachtree City Falcon Field,KFFC,35189.024418569985
3440,Santa Barbara Municipal Airport,KSBA,35146.03787640377
3560,Huntsville International Carl T Jones Field,KHSV,35128.83434519877
4034,Barnstable Municipal Boardman Polando Field,KHYA,34791.76395334653
77,Randolph Air Force Base,KRND,34377.09975750958
3383,Camarillo International Airport,KCMA,34216.66252684162
3681,Arlington Municipal Airport,KAWO,33601.41079935738
3821,Port Meadville Airport,KGKJ,33542.207600163536
3658,Gainesville Municipal Airport,KGLE,33331.73103486657
402,Fulton County Airport Brown Field,KFTY,33331.50407168292
3254,Newark Liberty International Airport,KEWR,33295.771692468734
3627,Glendale Municipal Airport,KGEU,32740.497448756792
3724,Smyrna Airport,KMQY,32653.620169924176
3463,Bellingham International Airport,KBLI,32004.38075544676
3664,Clark Regional Airport,KJVY,31522.60333342018
3331,Bend Municipal Airport,KBDN,31355.764881833893
4060,Carroll County Regional Jack B Poage Field,KDMW,30770.309870881945
3744,Jack Northrop Field Hawthorne Municipal Airport,KHHR,30685.11268291196
3428,South Valley International Airport,KU42,30684.600985102737
3558,North Las Vegas Metropolitan International Airport,KVGT,30525.054721712415
3642,Hicks Air Field,KT67,30521.70950371386
3739,Johnston County Airport,KJNX,30366.029351772995
3568,Charles M. Schulz Sonoma County Airport,KSTS,30272.871254677284
2267,Darke County Airport,KVES,30269.172300175465
3826,Frederick Municipal Airport,KFDK,29906.03660841379
3400,Tai's Landing Airport,WN61,29803.853920121004
3490,Aurora State Airport,KUAO,29755.52452723619
400,Dobbins Air Reserve Base,KMGE,29730.89616073914
3292,Livermore Municipal Airport,KLVK,29468.99043373555
3975,Charlottesville Albemarle Airport,KCHO,29097.308787769878
73,Aurora Municipal Airport,KARR,28367.860393792682
3485,Newport News Williamsburg International Airport,KPHF,28277.304578156753
3467,Venice Municipal Airport,KVNC,28232.452417679662
3446,Council Bluffs Municipal Airport,KCBF,27943.47849088466
3416,Sacramento Executive Airport,KSAC,27873.624761826686
3374,Cuyahoga County Airport,KCGF,27654.550148453447
3927,Fort Wayne International Airport,KFWA,27455.27302316044
1313,Indianapolis Executive Airport,KTYQ,27430.97330466286
3493,Northwest Regional Airport,K52F,27425.477946558196
3626,Montgomery-Gibbs Executive Airport,KMYF,27152.86152912395
3328,Tampa International Airport,KTPA,27054.402338110893
121,Montgomery County Airpark,KGAI,26690.574737866395
3721,Buchanan Field,KCCR,26689.39327001416
3408,Saufley Naval Outlying Landing Field,KNUN,26454.59258855369
3807,Wing South Airpark,FA37,25867.05899983193
3469,Reid-Hillview Airport of Santa Clara County,KRHV,25808.163305801947
4020,Burke Lakefront Airport,KBKL,25787.588273727295
3405,Reading Regional Airport (Carl A Spaatz Field),KRDG,25408.394251611007
3397,Northwest Arkansas Regional Airport,KXNA,24748.70422396866
258,Norfolk Naval Station (Chambers Field),KNGU,24558.03021351539
1799,Genesee County Airport,KGVQ,24458.14119360492
3805,Syracuse Hancock International Airport,KSYR,24417.779275156194
649,Arnold Palmer Regional Airport,KLBE,24196.538048701408
3636,Long Island Mac Arthur Airport,KISP,24103.01073751214
3986,Fairview Evergreen Airport,PN18,23929.56244866087
596,Greenville Spartanburg International Airport,KGSP,23770.43939886808
3616,Henderson Executive Airport,KHND,23614.702131554364
3679,Phoenix Goodyear Airport,KGYR,23441.20527465384
3983,New York Stewart International Airport,KSWF,23327.724973326425
19,Southern Wisconsin Regional Airport,KJVL,23223.36755673449
471,Defuniak Springs Airport,K54J,23192.88032937249
505,Rollins Airport,GA53,23176.765166905043
110,Lackland Air Force Base,KSKF,22889.799712256903
661,Ebeneezer Airport,4GA9,22792.39094315554
584,Hampton Roads Executive Airport,KPVG,22767.72061147899
99,Sheboygan County Memorial Airport,KSBM,22759.749504587668
3345,Cleveland Hopkins International Airport,KCLE,22506.672392278157
3510,Springdale Municipal Airport,KASG,22259.51875258382
3989,Linden Airport,KLDJ,22222.019180717638
3920,Horace Williams Airport,KIGX,22157.44720194974
3334,Modesto City Co-Harry Sham Field,KMOD,22147.58473099925
3644,Marana Regional Airport,KAVQ,22071.761634236485
408,Bob Sikes Airport,KCEW,21746.716644077467
931,Ecko Field,0PA4,21479.988297965934
356,Fresno Chandler Executive Airport,KFCH,21456.105023014643
3305,Waukesha County Airport,KUES,21261.869818949435
1075,Monroe Municipal Airport,KEFT,21146.130294526272
3418,Palo Alto Airport of Santa Clara County,KPAO,21134.50603833606
3407,Chandler Municipal Airport,KCHD,21132.93200971548
3286,Bethel-Lake Wylie Airport,SC08,21031.26968897085
3882,Decatur Airport,KDEC,21017.26429720305
3643,Morgantown Municipal Airport Walter L. (Bill) Hart Field,KMGW,20918.14088150323
4032,Creve Coeur Airport,K1H0,20864.24286320324
3443,Atlantic City International Airport,KACY,20856.356881339292
359,North Houston Airport,K9X1,20732.071662720555
3495,New Garden Airport,KN57,20715.7670952306
430,Conroe-North Houston Regional Airport,KCXO,20690.897282945592
1790,Doylestown Airport,KDYL,20638.186638540206
3938,Cooks Landing Airport,MN87,20568.246157246274
781,Millville Municipal Airport,KMIV,20505.390637507888
3389,Pearson Field,KVUO,20238.20364583773
3763,Naval Air Station Pensacola Forrest Sherman Field,KNPA,20094.3477406205
1779,Pokety Airport,3MD8,20019.820273138877
3863,Santa Monica Municipal Airport,KSMO,20012.929311375865
347,Rosecrans Memorial Airport,KSTJ,19986.72545226339
1398,Misty Hill Farm Airport,PN14,19828.6825287443
220,Gary Chicago International Airport,KGYY,19814.404775475774
3343,Stockton Metropolitan Airport,KSCK,19804.656778655404
3410,St Paul Downtown Holman Field,KSTP,19775.354919071193
1843,Shannon Airport,KEZF,19774.639859559826
3817,Central Jersey Regional Airport,K47N,19749.122908977195
3662,Wittman Regional Airport,KOSH,19702.390803132133
700,Plymouth Municipal Airport,KPYM,19695.190097746457
1093,Kerrville Municipal Louis Schreiner Field,KERV,19420.231907357324
717,Houston Airpark,21XS,19346.90541474103
3293,Mac Dill Air Force Base,KMCF,19207.885429912247
3981,Frasca Field,KC16,19094.7957330152
3904,Nardo Airport,77PA,19008.24054841949
4003,Pryor Field Regional Airport,KDCU,18996.500845043556
59,Orlando North Airpark,FA83,18663.393249881403
3634,Merced Regional Macready Field,KMCE,18511.39779847281
3524,Yates Airport,XS89,18469.64090850419
3943,Brandywine Regional Airport,KOQN,18232.503537264234
191,Kozal Airfield,76MI,18038.670120216728
3496,Lee Airport,KANP,17376.416335930862
115,Kestrel Airpark,K1T7,17319.744196045554
351,Camp Bullis ALS Airport,9TX5,17183.759056216077
3439,Lincoln Regional Karl Harder Field,KLHM,17148.064470329256
3261,Seidel Ranch Airport,02XS,17113.833027190958
243,Deep Forest Airport,FD48,16983.8821073012
671,Hermon Farm Airport,SN59,16796.194469712387
3420,Visalia International Airport,KVIS,16702.032921032373
1107,Oakland Troy Airport,KVLL,16681.12784479719
3394,Palm Springs International Airport,KPSP,16509.15007284719
3447,Gillespie Field,KSEE,16419.90232058541
1923,Wadsworth Municipal Airport,K3G3,16405.31391357002
853,North Star Ranch Airport,MY66,16391.423573481083
166,St Charles County Smartt Airport,KSET,16376.776774248037
3617,St. Mary's County Regional Airport,K2W6,16328.23163516137
3274,Ontario International Airport,KONT,16226.030692705635
1151,Buffalo Municipal Airport,KCFE,16224.091193103472
3702,Ocean County Airport,KMJX,16223.265621895564
365,Houston Executive Airport,KTME,16219.945531486494
3646,Vicars Private Airport,PS15,16135.574853560922
3594,Gillespie County Airport,KT82,16119.843429597133
35,Patuxent River Naval Air Station (Trapnell Field),KNHK,16107.750882454067
3384,Lawrence J Timmerman Airport,KMWC,16059.992633933765
1028,Hidden Valley Airpark,5TX0,16039.042956342542
3551,Smith Field,KSMD,15855.594371458836
4051,Wings Field,KLOM,15802.151492408037
449,Spencer Nolf Airport,KNRQ,15741.11481835378
3373,Brown Field Municipal Airport,KSDM,15618.185396396504
3802,Runway Ranch Airport,2MO9,15384.673317512978
801,Harnett Regional Jetport Airport,KHRJ,15372.684121253968
1302,Springfield-Beckley Municipal Airport,KSGH,15281.576409227016
674,Porter County Municipal Airport,KVPZ,15196.415766358477
112,Lake Norman Airpark,K14A,15160.600828716408
102,Spruce Creek Airport,7FL6,15150.673516789064
66,New Century Aircenter Airport,KIXD,15029.078762191139
125,Terrell Municipal Airport,KTRL,14971.42638614642
1163,Wipline Airport,35MN,14916.631028079391
880,Washington Executive Hyde Field,KW32,14906.819794406527
606,Waukegan National Airport,KUGN,14903.02342536926
357,Centralia Municipal Airport,KENL,14898.494481064847
100,Choctaw Nolf Airport,KNFJ,14847.69530417811
3552,Houston Southwest Airport,KAXH,14777.739342185723
2183,Peterson Field,7AL2,14636.326303449054
3815,Air Park Dallas Airport,KF69,14596.128555703788
1892,Grimes Field,KI74,14581.82400367476
3905,Vermilion Regional Airport,KDNV,14502.056128022654
3429,San Carlos Airport,KSQL,14443.927108912683
3787,Auburn Municipal Airport,KAUN,14443.632883833821
