,n.name,n.code,score
40,Chicago O'Hare International Airport,KORD,1316004.2745647577
26,Hartsfield Jackson Atlanta International Airport,KATL,927354.4033550206
61,Dallas Fort Worth International Airport,KDFW,926317.8639450975
85,Teterboro Airport,KTEB,852687.7092712654
25,Dallas Love Field,KDAL,754977.4358794221
34,Philadelphia International Airport,KPHL,700098.8561123962
64,McCarran International Airport,KLAS,669389.5017440463
51,Raleigh Durham International Airport,KRDU,640594.281126145
177,Addison Airport,KADS,634879.5728837624
164,DeKalb Peachtree Airport,KPDK,620836.5843076935
44,Washington Dulles International Airport,KIAD,616018.3065840258
110,Phoenix Sky Harbor International Airport,KPHX,584519.681004524
134,William P Hobby Airport,KHOU,504126.3156012705
50,Boeing Field King County International Airport,KBFI,493068.52747037285
63,Chicago Midway International Airport,KMDW,482862.54734183825
96,San Antonio International Airport,KSAT,446718.7967198661
54,Baltimore/Washington International Thurgood Marshall Airport,KBWI,445031.67061735835
75,Westchester County Airport,KHPN,437832.7485102802
175,Centennial Airport,KAPA,437055.40303186467
57,Ted Stevens Anchorage International Airport,PANC,434761.02046796633
46,George Bush Intercontinental Houston Airport,KIAH,427751.5313971883
147,Nashville International Airport,KBNA,420125.6314258691
100,Detroit Metropolitan Wayne County Airport,KDTW,371086.48434242705
104,Charlotte Douglas International Airport,KCLT,361385.8374995676
102,San Francisco International Airport,KSFO,360991.90570965933
158,Dane County Regional Truax Field,KMSN,352643.18999985745
1,Los Angeles International Airport,KLAX,344908.209347534
124,Logan International Airport,KBOS,337781.8182547598
239,Fort Worth Meacham International Airport,KFTW,332402.06117253395
298,Charles B. Wheeler Downtown Airport,KMKC,328576.40118646866
112,Scottsdale Airport,KSDL,325580.63243216707
98,John Glenn Columbus International Airport,KCMH,312640.413007321
514,Cincinnati Municipal Airport Lunken Field,KLUK,304206.4728409473
129,Louisville Muhammad Ali International Airport,KSDF,298461.3780122651
157,Naples Municipal Airport,KAPF,296967.439671244
106,Fort Lauderdale Hollywood International Airport,KFLL,295497.80870438565
7,Metropolitan Oakland International Airport,KOAK,288057.6851369351
254,Oakland County International Airport,KPTK,286923.18170363136
233,Spirit of St Louis Airport,KSUS,286668.1729727506
126,Portland International Airport,KPDX,283537.3114830957
189,John Wayne Airport-Orange County Airport,KSNA,277871.19109148375
343,Laurence G Hanscom Field,KBED,268238.0864617164
119,Austin Bergstrom International Airport,KAUS,258939.43046008365
105,St Louis Lambert International Airport,KSTL,257609.19110425704
91,Chicago Executive Airport,KPWK,244958.59065472693
30,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,244442.8536363916
29,Denver International Airport,KDEN,243921.04258244098
408,Frederick Douglass Greater Rochester International Airport,KROC,243699.003201755
107,Seattle Tacoma International Airport,KSEA,239308.42934475758
215,Boise Air Terminal/Gowen Field,KBOI,223388.98286781434
38,Newark Liberty International Airport,KEWR,223361.570915067
152,Eppley Airfield,KOMA,216249.74922838996
155,Tulsa International Airport,KTUL,214174.5303187865
77,Miami International Airport,KMIA,207602.34089938787
115,Norman Y. Mineta San Jose International Airport,KSJC,205782.539375534
337,Richard Lloyd Jones Jr Airport,KRVS,204074.70692851252
320,Flying Cloud Airport,KFCM,201205.1928483931
182,Lehigh Valley International Airport,KABE,189489.0458033866
188,Cobb County International Airport-McCollum Field,KRYY,184257.07303854483
143,Miami-Opa Locka Executive Airport,KOPF,182452.93288330338
176,McGhee Tyson Airport,KTYS,182208.8004997331
171,Sugar Land Regional Airport,KSGR,179562.59369224787
527,David Wayne Hooks Memorial Airport,KDWH,174850.4578611549
235,Sarasota Bradenton International Airport,KSRQ,173412.1519626583
127,Dupage Airport,KDPA,172788.3433267241
113,Van Nuys Airport,KVNY,169841.65097914363
429,Gwinnett County Briscoe Field,KLZU,169661.00573703522
216,Manassas Regional Airport/Harry P. Davis Field,KHEF,169069.2846160584
89,Ronald Reagan Washington National Airport,KDCA,167782.44367749782
210,Page Field,KFMY,164156.9060010174
291,St Petersburg Clearwater International Airport,KPIE,162886.07030297577
208,Trenton Mercer Airport,KTTN,161756.68812696802
834,Northwest Florida Beaches International Airport,KECP,154473.3142365162
387,Purdue University Airport,KLAF,152302.4581482194
283,McKinney National Airport,KTKI,151653.42236120347
47,John F Kennedy International Airport,KJFK,150774.81505253425
148,Portland Hillsboro Airport,KHIO,147851.3956954031
228,Snohomish County (Paine Field) Airport,KPAE,144743.77030175453
246,Rocky Mountain Metropolitan Airport,KBJC,144376.47285439653
230,Gerald R. Ford International Airport,KGRR,142477.06106830004
403,Morristown Municipal Airport,KMMU,136990.11643921325
103,Albuquerque International Sunport,KABQ,136887.75992531193
186,Norfolk International Airport,KORF,135466.5325738939
393,Austin Straubel International Airport,KGRB,134902.0290270326
199,Lincoln Airport,KLNK,134138.38491734574
238,Wiley Post Airport,KPWA,134039.27512825603
162,Daytona Beach International Airport,KDAB,132048.0773184069
277,Charlotte County Airport,KPGD,130190.14851309765
333,Fort Worth Alliance Airport,KAFW,128973.28407969455
166,Arlington Municipal Airport,KGKY,128968.68356700796
475,Lancaster Airport,KLNS,126155.83007474816
423,St Louis Downtown Airport,KCPS,124809.47930355073
128,San Diego International Airport,KSAN,116449.0110243612
200,General Mitchell International Airport,KMKE,115685.13223665657
209,New Castle Airport,KILG,115307.42292555093
288,Martin State Airport,KMTN,114638.02070204183
245,Lewis University Airport,KLOT,110971.61227031157
221,Fresno Yosemite International Airport,KFAT,108233.79744649061
83,Buffalo Niagara International Airport,KBUF,107695.19142614193
142,La Guardia Airport,KLGA,107513.19308834283
144,Syracuse Hancock International Airport,KSYR,106406.06087824523
35,City of Colorado Springs Municipal Airport,KCOS,105944.92756497137
1143,West Houston Airport,KIWS,103088.81467532738
410,Roanoke–Blacksburg Regional Airport,KROA,101834.77838745211
428,Denton Municipal Airport,KDTO,100288.20952541032
553,Dallas Executive Airport,KRBD,99459.45090649767
456,Essex County Airport,KCDW,93660.33780255965
436,Corpus Christi International Airport,KCRP,93215.52850487285
262,Phoenix–Mesa Gateway Airport,KIWA,90881.62888841477
563,Abraham Lincoln Capital Airport,KSPI,90116.3751932114
2818,Merrill Field,PAMR,89286.40868523585
211,University of Illinois Willard Airport,KCMI,88739.48945825458
306,Springfield Branson National Airport,KSGF,87486.2474448643
460,Bowman Field,KLOU,87080.01957855636
415,Aurora State Airport,KUAO,84695.95718062932
244,Republic Airport,KFRG,83722.29299494802
172,Phoenix Deer Valley Airport,KDVT,81756.27466757502
197,Ellington Airport,KEFD,80880.23532340939
88,Palm Springs International Airport,KPSP,80455.35690457042
31,Southwest Florida International Airport,KRSW,79526.78909501719
1156,Pittsburgh/Butler Regional Airport,KBTP,79025.98738998336
687,Bentonville Municipal-Louise M Thaden Field,KVBT,78129.9059346996
1000,Albert Whitted Airport,KSPG,77996.41317611658
156,San Luis County Regional Airport,KSBP,76018.0417528957
205,James M Cox Dayton International Airport,KDAY,75606.72712204397
99,Cincinnati Northern Kentucky International Airport,KCVG,75338.23130422036
140,Fulton County Airport Brown Field,KFTY,74969.02593007822
