,n.name,n.code,score
4110,Chicago O'Hare International Airport,KORD,993471.7601854792
4097,Hartsfield Jackson Atlanta International Airport,KATL,767672.2369645732
4136,Dallas Fort Worth International Airport,KDFW,763688.5316310477
4170,Phoenix Sky Harbor International Airport,KPHX,591346.9341634129
4111,Baltimore/Washington International Thurgood Marshall Airport,KBWI,526701.4120968803
4144,William P Hobby Airport,KHOU,518170.4778696402
4321,Addison Airport,KADS,509364.9721157064
4140,Dallas Love Field,KDAL,493529.61441283213
4122,DeKalb Peachtree Airport,KPDK,455722.32999917294
4167,Raleigh Durham International Airport,KRDU,417954.2698893962
4129,Philadelphia International Airport,KPHL,400169.79048574343
4192,Charlotte Douglas International Airport,KCLT,381703.95367814344
4116,Washington Dulles International Airport,KIAD,381509.9160451619
4232,Centennial Airport,KAPA,376163.7566884109
4155,San Antonio International Airport,KSAT,369257.6598008226
4131,Los Angeles International Airport,KLAX,336399.92166092474
4162,Nashville International Airport,KBNA,329877.9041174239
4101,Logan International Airport,KBOS,328559.20318350225
4114,Louisville Muhammad Ali International Airport,KSDF,321842.3390861333
4149,Sarasota Bradenton International Airport,KSRQ,286476.37085671484
4104,Ted Stevens Anchorage International Airport,PANC,273749.4951913143
4126,Seattle Tacoma International Airport,KSEA,266199.3868013616
4146,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,259406.17973377838
4113,Teterboro Airport,KTEB,247197.1932494281
4217,Scottsdale Airport,KSDL,240105.15847453394
4132,Austin Bergstrom International Airport,KAUS,233568.51721497596
4179,St Louis Lambert International Airport,KSTL,232636.66652684237
43,Spirit of St Louis Airport,KSUS,232054.22283210422
4117,Denver International Airport,KDEN,231651.9808666608
4269,Boeing Field King County International Airport,KBFI,225128.12533362003
4172,George Bush Intercontinental Houston Airport,KIAH,223298.01650383967
4138,Fort Lauderdale Hollywood International Airport,KFLL,218526.49674425003
4182,Northwest Florida Beaches International Airport,KECP,214760.3504447505
4177,McGhee Tyson Airport,KTYS,213140.44495819378
4207,Tulsa International Airport,KTUL,212113.53126314766
4154,Charles B. Wheeler Downtown Airport,KMKC,211132.32476416038
4178,Page Field,KFMY,194068.6125690965
4187,Naples Municipal Airport,KAPF,185909.51594531495
4173,Flying Cloud Airport,KFCM,183587.68830488622
4306,Richard Lloyd Jones Jr Airport,KRVS,177598.14187199826
4118,San Francisco International Airport,KSFO,174198.26378064553
4143,Albuquerque International Sunport,KABQ,172852.86470690544
4120,Eppley Airfield,KOMA,161491.6057491393
4161,McCarran International Airport,KLAS,159275.22441794432
526,Arlington Municipal Airport,KGKY,157772.07278038037
82,Westchester County Airport,KHPN,149190.73952649056
4147,Portland International Airport,KPDX,148820.5197978732
4102,Metropolitan Oakland International Airport,KOAK,147438.59720440692
4185,Van Nuys Airport,KVNY,146498.8811993079
4163,Southwest Florida International Airport,KRSW,146449.95852316037
4234,John Wayne Airport-Orange County Airport,KSNA,146409.79302585692
4092,Miami International Airport,KMIA,145197.2567134825
4105,John F Kennedy International Airport,KJFK,144270.25915000247
260,Cobb County International Airport-McCollum Field,KRYY,139213.85587012995
4240,Norfolk International Airport,KORF,136312.16469788412
4233,Fresno Yosemite International Airport,KFAT,135608.79021363537
227,Denton Municipal Airport,KDTO,133064.12787686114
4165,San Diego International Airport,KSAN,132712.4544223416
4160,Chicago Executive Airport,KPWK,132697.90456552
4099,Chicago Midway International Airport,KMDW,130286.61558439357
4175,Kissimmee Gateway Airport,KISM,129920.96232087976
4121,Newark Liberty International Airport,KEWR,128369.85507399814
4157,John Glenn Columbus International Airport,KCMH,126070.0035851857
400,Laurence G Hanscom Field,KBED,124186.20621914827
4238,Norman Y. Mineta San Jose International Airport,KSJC,124112.27322275423
309,Fort Worth Meacham International Airport,KFTW,123398.58238474371
4327,David Wayne Hooks Memorial Airport,KDWH,122248.62086131849
4204,Gwinnett County Briscoe Field,KLZU,120467.60361210772
4184,Charlotte County Airport,KPGD,119928.71909043999
4180,Sugar Land Regional Airport,KSGR,118087.32436266392
4218,General Mitchell International Airport,KMKE,116340.34945325047
564,West Houston Airport,KIWS,114383.02841914486
296,Fort Worth Alliance Airport,KAFW,113529.79803254899
4151,Tampa International Airport,KTPA,112036.83535063283
4181,Boise Air Terminal/Gowen Field,KBOI,111882.89939634262
4271,Daytona Beach International Airport,KDAB,110969.52126282491
229,Cincinnati Municipal Airport Lunken Field,KLUK,110453.97659558788
512,McKinney National Airport,KTKI,108449.40490326872
6,Bowman Field,KLOU,104800.36804032116
4188,Oakland County International Airport,KPTK,104669.40397563206
4291,St Petersburg Clearwater International Airport,KPIE,104060.95513985296
210,Martin State Airport,KMTN,102550.07705405827
4380,Lincoln Airport,KLNK,102516.87067718351
4237,Rocky Mountain Metropolitan Airport,KBJC,101259.28593787228
117,Carter Airport,FL57,99367.38769834819
4375,Venice Municipal Airport,KVNC,98541.7840483193
467,Lancaster Airport,KLNS,96258.17318252334
4279,Frederick Douglass Greater Rochester International Airport,KROC,95454.22137915103
4164,Ronald Reagan Washington National Airport,KDCA,92497.1109716683
275,Burlington Alamance Regional Airport,KBUY,92305.99110234075
4108,Miami-Opa Locka Executive Airport,KOPF,90266.56306230163
73,Newport News Williamsburg International Airport,KPHF,85715.17303369685
4297,San Marcos Regional Airport,KHYI,84495.50989564847
4200,Gastonia Municipal Airport,KAKH,84140.53033379707
4202,Cincinnati Northern Kentucky International Airport,KCVG,81392.3443676593
4103,Phoenix Deer Valley Airport,KDVT,80642.81113517826
4137,Dane County Regional Truax Field,KMSN,80631.09020831913
318,Dallas Executive Airport,KRBD,78726.16795861894
278,Manassas Regional Airport/Harry P. Davis Field,KHEF,77672.51001560396
795,Johnson County Executive Airport,KOJC,76701.81712573465
4214,City of Colorado Springs Municipal Airport,KCOS,75866.669418958
4253,Lehigh Valley International Airport,KABE,75181.73202754045
4247,Roanoke–Blacksburg Regional Airport,KROA,73485.72038698249
4295,Whiting Field Naval Air Station - North,KNSE,73331.69060897555
4319,McClellan-Palomar Airport,KCRQ,73243.21016539082
4227,Detroit Metropolitan Wayne County Airport,KDTW,72086.41894310791
176,Gainesville Municipal Airport,KGLE,71521.33110838069
4156,Sacramento International Airport,KSMF,70276.68875592366
475,New Castle Airport,KILG,70037.55288689244
1036,Springfield-Beckley Municipal Airport,KSGH,68526.39248793728
4225,Merrill Field,PAMR,67338.95148283198
71,St Louis Downtown Airport,KCPS,65433.428519038185
782,Boerne Stage Field,K5C1,64993.124246527346
4262,Pueblo Memorial Airport,KPUB,63733.12950740366
4142,Lenzner Farm Airport,7PS7,63191.91095822172
4145,Buffalo Niagara International Airport,KBUF,62797.730917664245
593,Capital City Airport,KCXY,62743.52407634012
556,Leesburg Executive Airport,KJYO,61714.40538697858
142,Destin Executive Airport,KDTS,61326.86059645945
9,Wing South Airpark,FA37,59933.72321543007
4215,Trenton Mercer Airport,KTTN,59232.898046473005
224,Morristown Municipal Airport,KMMU,59170.38608202609
4226,Gerald R. Ford International Airport,KGRR,59118.256755368246
4216,Dupage Airport,KDPA,58563.34744635183
4194,Long Beach Airport (Daugherty Field),KLGB,58522.62028331763
1749,Hickory Regional Airport,KHKY,58175.26675322077
549,Sanford-Lee County Regional Airport,KTTA,58142.879705844294
342,Charlottesville Albemarle Airport,KCHO,57788.52228285895
4287,Appleton International Airport,KATW,57424.50999686813
4333,Huntsville International Carl T Jones Field,KHSV,57258.88033210591
4127,St Paul Downtown Holman Field,KSTP,56889.92470159243
304,Yates Airport,XS89,56088.02680225235
458,Fort Lauderdale Executive Airport,KFXE,55267.48365246618
439,Lewis University Airport,KLOT,55148.04127355578
187,Concord-Padgett Regional Airport,KJQF,53951.68089799802
4221,Falcon Field,KFFZ,53843.35582830159
4159,Phoenix–Mesa Gateway Airport,KIWA,52878.81831273564
87,Sacramento Mather Airport,KMHR,52439.76368627872
