,n.name,n.code,score
16,Dallas Fort Worth International Airport,KDFW,1877.0
101,Denver International Airport,KDEN,1747.0
36,Hartsfield Jackson Atlanta International Airport,KATL,1637.0
78,Chicago O'Hare International Airport,KORD,1511.0
82,Phoenix Sky Harbor International Airport,KPHX,1427.0
51,Charlotte Douglas International Airport,KCLT,1404.0
65,McCarran International Airport,KLAS,1290.0
34,Seattle Tacoma International Airport,KSEA,1285.0
46,Los Angeles International Airport,KLAX,1275.0
70,Baltimore/Washington International Thurgood Marshall Airport,KBWI,1016.0
68,Chicago Midway International Airport,KMDW,946.0
23,San Francisco International Airport,KSFO,881.0
52,Dallas Love Field,KDAL,842.0
44,Logan International Airport,KBOS,830.0
27,Louisville Muhammad Ali International Airport,KSDF,827.0
40,Detroit Metropolitan Wayne County Airport,KDTW,823.0
115,Philadelphia International Airport,KPHL,813.0
96,John Wayne Airport-Orange County Airport,KSNA,786.0
24,Ted Stevens Anchorage International Airport,PANC,768.0
67,Indianapolis International Airport,KIND,735.0
74,Nashville International Airport,KBNA,715.0
53,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,708.0
47,Metropolitan Oakland International Airport,KOAK,707.0
38,Miami International Airport,KMIA,687.0
97,Ronald Reagan Washington National Airport,KDCA,622.0
84,San Diego International Airport,KSAN,619.0
54,Austin Bergstrom International Airport,KAUS,612.0
85,Washington Dulles International Airport,KIAD,604.0
57,St Louis Lambert International Airport,KSTL,595.0
94,Fort Lauderdale Hollywood International Airport,KFLL,594.0
55,Portland International Airport,KPDX,584.0
275,Norman Y. Mineta San Jose International Airport,KSJC,577.0
144,Van Nuys Airport,KVNY,541.0
147,Ontario International Airport,KONT,509.0
64,Cincinnati Northern Kentucky International Airport,KCVG,504.0
183,Raleigh Durham International Airport,KRDU,492.0
98,Newark Liberty International Airport,KEWR,473.0
18,John F Kennedy International Airport,KJFK,464.0
42,Sacramento International Airport,KSMF,463.0
165,Orlando International Airport,KMCO,454.0
215,Scottsdale Airport,KSDL,450.0
126,La Guardia Airport,KLGA,443.0
32,Bob Hope Airport,KBUR,438.0
151,William P Hobby Airport,KHOU,428.0
152,Centennial Airport,KAPA,426.0
153,Long Beach Airport (Daugherty Field),KLGB,417.0
216,San Antonio International Airport,KSAT,411.0
543,DeKalb Peachtree Airport,KPDK,398.0
90,Westchester County Airport,KHPN,387.0
175,Kansas City International Airport,KMCI,362.0
464,Camarillo International Airport,KCMA,358.0
99,John Glenn Columbus International Airport,KCMH,349.0
125,George Bush Intercontinental Houston Airport,KIAH,341.0
163,McClellan-Palomar Airport,KCRQ,333.0
25,Teterboro Airport,KTEB,333.0
60,Albuquerque International Sunport,KABQ,331.0
95,Reno Tahoe International Airport,KRNO,321.0
121,Addison Airport,KADS,318.0
261,Boise Air Terminal/Gowen Field,KBOI,313.0
174,General Mitchell International Airport,KMKE,312.0
194,Boeing Field King County International Airport,KBFI,309.0
37,Sarasota Bradenton International Airport,KSRQ,309.0
134,Eppley Airfield,KOMA,309.0
184,Daytona Beach International Airport,KDAB,304.0
148,Montgomery-Gibbs Executive Airport,KMYF,302.0
211,Southwest Florida International Airport,KRSW,293.0
489,Laurence G Hanscom Field,KBED,289.0
280,Santa Barbara Municipal Airport,KSBA,288.0
145,Falcon Field,KFFZ,273.0
132,Republic Airport,KFRG,252.0
190,Richard Lloyd Jones Jr Airport,KRVS,250.0
997,Tampa International Airport,KTPA,249.0
130,Fresno Yosemite International Airport,KFAT,248.0
143,Fort Worth Meacham International Airport,KFTW,246.0
35,Miami-Opa Locka Executive Airport,KOPF,244.0
207,Phoenix Deer Valley Airport,KDVT,243.0
237,Northwest Florida Beaches International Airport,KECP,240.0
103,Kissimmee Gateway Airport,KISM,238.0
415,Oxnard Airport,KOXR,237.0
86,St Petersburg Clearwater International Airport,KPIE,227.0
137,Naples Municipal Airport,KAPF,226.0
76,Chicago Executive Airport,KPWK,221.0
243,Phoenix–Mesa Gateway Airport,KIWA,218.0
231,Page Field,KFMY,217.0
189,Zamperini Field,KTOA,214.0
297,Chino Airport,KCNO,214.0
423,French Valley Airport,KF70,213.0
59,Rocky Mountain Metropolitan Airport,KBJC,211.0
304,Buffalo Niagara International Airport,KBUF,209.0
161,Tulsa International Airport,KTUL,207.0
221,Santa Monica Municipal Airport,KSMO,206.0
238,Livermore Municipal Airport,KLVK,202.0
320,Carter Airport,FL57,201.0
105,Luis Munoz Marin International Airport,TJSJ,200.0
195,Gillespie Field,KSEE,197.0
33,Norfolk International Airport,KORF,196.0
104,Mac Dill Air Force Base,KMCF,194.0
141,Tucson International Airport / Morris Air National Guard Base,KTUS,191.0
146,Chicago Rockford International Airport,KRFD,191.0
100,Manassas Regional Airport/Harry P. Davis Field,KHEF,189.0
230,Salt Lake City International Airport,KSLC,183.0
89,McGhee Tyson Airport,KTYS,181.0
4,Incheon International Airport,RKSI,180.0
198,Charles B. Wheeler Downtown Airport,KMKC,178.0
210,Dane County Regional Truax Field,KMSN,178.0
296,Sacramento Executive Airport,KSAC,178.0
263,Henderson Executive Airport,KHND,178.0
247,Palo Alto Airport of Santa Clara County,KPAO,177.0
282,Lancaster Airport,KLNS,177.0
325,Leesburg Executive Airport,KJYO,176.0
66,Spirit of St Louis Airport,KSUS,176.0
229,Reid-Hillview Airport of Santa Clara County,KRHV,175.0
314,Pittsburgh International Airport,KPIT,174.0
1020,South Valley International Airport,KU42,174.0
102,Oakland County International Airport,KPTK,173.0
547,Frederick Douglass Greater Rochester International Airport,KROC,173.0
281,Martha's Vineyard Airport,KMVY,171.0
425,Whiting Field Naval Air Station - North,KNSE,170.0
446,Long Island Mac Arthur Airport,KISP,170.0
946,Fort Worth Alliance Airport,KAFW,169.0
366,San Luis County Regional Airport,KSBP,168.0
181,Fullerton Municipal Airport,KFUL,168.0
227,Cincinnati Municipal Airport Lunken Field,KLUK,167.0
273,Palm Springs International Airport,KPSP,166.0
160,Morristown Municipal Airport,KMMU,166.0
123,Cleveland Hopkins International Airport,KCLE,159.0
585,Charles M. Schulz Sonoma County Airport,KSTS,159.0
173,McKinney National Airport,KTKI,157.0
63,City of Colorado Springs Municipal Airport,KCOS,156.0
48,Cobb County International Airport-McCollum Field,KRYY,156.0
2,Hong Kong International Airport,VHHH,156.0
531,Riverside Municipal Airport,KRAL,154.0
562,Flying Cloud Airport,KFCM,154.0
158,Sacramento Mather Airport,KMHR,153.0
133,Prescott International Airport - Ernest A. Love Field,KPRC,153.0
122,San Bernardino International Airport,KSBD,153.0
5,London Heathrow Airport,EGLL,151.0
113,Dupage Airport,KDPA,150.0
139,Hayward Executive Airport,KHWD,149.0
206,North Perry Airport,KHWO,149.0
361,San Gabriel Valley Airport,KEMT,148.0
204,Merrill Field,PAMR,146.0
157,Gwinnett County Briscoe Field,KLZU,145.0
213,Buchanan Field,KCCR,145.0
515,Tuckernuck Airport,MA72,143.0
467,Whiteman Airport,KWHP,142.0
312,Syracuse Hancock International Airport,KSYR,142.0
530,Brackett Field,KPOC,139.0
80,Lehigh Valley International Airport,KABE,136.0
660,Gainesville Regional Airport,KGNV,136.0
305,Napa County Airport,KAPC,135.0
114,North Las Vegas Metropolitan International Airport,KVGT,135.0
408,McClellan Airfield,KMCC,131.0
176,Chandler Municipal Airport,KCHD,131.0
43,Martin State Airport,KMTN,129.0
1269,Stout Airport,FD83,128.0
681,Harrisburg International Airport,KMDT,127.0
