,n.name,n.code,score
25,Chicago O'Hare International Airport,KORD,5090.0
53,Hartsfield Jackson Atlanta International Airport,KATL,4634.0
57,Los Angeles International Airport,KLAX,3878.0
130,Dallas Fort Worth International Airport,KDFW,3568.0
58,Denver International Airport,KDEN,3503.0
80,McCarran International Airport,KLAS,3302.0
108,Phoenix Sky Harbor International Airport,KPHX,3292.0
28,San Francisco International Airport,KSFO,2761.0
110,Logan International Airport,KBOS,2703.0
19,Seattle Tacoma International Airport,KSEA,2559.0
113,La Guardia Airport,KLGA,2500.0
41,George Bush Intercontinental Houston Airport,KIAH,2399.0
82,Newark Liberty International Airport,KEWR,2273.0
44,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,2250.0
135,Detroit Metropolitan Wayne County Airport,KDTW,2172.0
59,Philadelphia International Airport,KPHL,2140.0
151,Ronald Reagan Washington National Airport,KDCA,2056.0
107,Washington Dulles International Airport,KIAD,1741.0
7,John F Kennedy International Airport,KJFK,1723.0
92,San Diego International Airport,KSAN,1723.0
74,Fort Lauderdale Hollywood International Airport,KFLL,1714.0
54,Baltimore/Washington International Thurgood Marshall Airport,KBWI,1513.0
55,Miami International Airport,KMIA,1509.0
56,Dallas Love Field,KDAL,1478.0
99,Norman Y. Mineta San Jose International Airport,KSJC,1447.0
120,Portland International Airport,KPDX,1388.0
124,Chicago Midway International Airport,KMDW,1386.0
196,Nashville International Airport,KBNA,1376.0
96,St Louis Lambert International Airport,KSTL,1351.0
121,Raleigh Durham International Airport,KRDU,1340.0
138,Lester B. Pearson International Airport,CYYZ,1334.0
64,Austin Bergstrom International Airport,KAUS,1333.0
873,Charlotte Douglas International Airport,KCLT,1331.0
69,Metropolitan Oakland International Airport,KOAK,1256.0
65,John Wayne Airport-Orange County Airport,KSNA,1193.0
77,William P Hobby Airport,KHOU,1143.0
114,Louisville Muhammad Ali International Airport,KSDF,1138.0
94,Cincinnati Northern Kentucky International Airport,KCVG,1089.0
75,Teterboro Airport,KTEB,995.0
126,Sacramento International Airport,KSMF,992.0
140,Southwest Florida International Airport,KRSW,918.0
185,John Glenn Columbus International Airport,KCMH,912.0
190,Bob Hope Airport,KBUR,912.0
149,Kansas City International Airport,KMCI,896.0
68,San Antonio International Airport,KSAT,896.0
163,Cleveland Hopkins International Airport,KCLE,745.0
148,Mac Dill Air Force Base,KMCF,711.0
137,General Mitchell International Airport,KMKE,703.0
165,Ontario International Airport,KONT,684.0
156,Albuquerque International Sunport,KABQ,665.0
101,Van Nuys Airport,KVNY,663.0
172,Eppley Airfield,KOMA,657.0
48,Ted Stevens Anchorage International Airport,PANC,604.0
133,Westchester County Airport,KHPN,602.0
11,London Heathrow Airport,EGLL,580.0
86,Long Beach Airport (Daugherty Field),KLGB,579.0
150,Boise Air Terminal/Gowen Field,KBOI,548.0
155,Montreal / Pierre Elliott Trudeau International Airport,CYUL,526.0
79,Buffalo Niagara International Airport,KBUF,489.0
83,Gerald R. Ford International Airport,KGRR,478.0
188,Scottsdale Airport,KSDL,475.0
1168,South Valley International Airport,KU42,474.0
183,Tampa International Airport,KTPA,473.0
170,McGhee Tyson Airport,KTYS,472.0
38,Norfolk International Airport,KORF,467.0
119,Vancouver International Airport,CYVR,467.0
295,Tulsa International Airport,KTUL,464.0
60,Centennial Airport,KAPA,446.0
132,Palm Springs International Airport,KPSP,438.0
111,St Petersburg Clearwater International Airport,KPIE,426.0
274,Daytona Beach International Airport,KDAB,426.0
174,Dane County Regional Truax Field,KMSN,413.0
319,Fresno Yosemite International Airport,KFAT,404.0
118,McClellan-Palomar Airport,KCRQ,386.0
253,Frederick Douglass Greater Rochester International Airport,KROC,380.0
158,Sarasota Bradenton International Airport,KSRQ,370.0
147,Syracuse Hancock International Airport,KSYR,367.0
285,Salt Lake City International Airport,KSLC,361.0
226,Piedmont Triad International Airport,KGSO,360.0
127,Boeing Field King County International Airport,KBFI,353.0
0,Phoenix–Mesa Gateway Airport,KIWA,347.0
186,Falcon Field,KFFZ,337.0
252,Theodore Francis Green State Airport,KPVD,336.0
211,Addison Airport,KADS,330.0
389,Laurence G Hanscom Field,KBED,316.0
184,Montgomery-Gibbs Executive Airport,KMYF,316.0
321,Pittsburgh International Airport,KPIT,315.0
194,Northwest Arkansas Regional Airport,KXNA,315.0
219,DeKalb Peachtree Airport,KPDK,315.0
182,James M Cox Dayton International Airport,KDAY,308.0
403,Camarillo International Airport,KCMA,303.0
128,Calgary International Airport,CYYC,299.0
362,City of Colorado Springs Municipal Airport,KCOS,292.0
264,Richard Lloyd Jones Jr Airport,KRVS,290.0
181,Phoenix Deer Valley Airport,KDVT,288.0
71,Miami-Opa Locka Executive Airport,KOPF,285.0
210,Pueblo Memorial Airport,KPUB,273.0
451,Fort Worth Meacham International Airport,KFTW,263.0
243,Harrisburg International Airport,KMDT,255.0
125,Henderson Executive Airport,KHND,240.0
790,Chino Airport,KCNO,240.0
304,Charles B. Wheeler Downtown Airport,KMKC,238.0
355,Oakland County International Airport,KPTK,237.0
276,Chicago Executive Airport,KPWK,237.0
164,San Luis County Regional Airport,KSBP,237.0
447,Fort Worth Alliance Airport,KAFW,230.0
97,Fernando Luis Ribas Dominicci Airport,TJIG,230.0
67,El Dorado International Airport,SKBO,228.0
112,Springfield Branson National Airport,KSGF,226.0
34,Frankfurt am Main Airport,EDDF,226.0
105,Naples Municipal Airport,KAPF,224.0
39,Rocky Mountain Metropolitan Airport,KBJC,224.0
470,Santa Monica Municipal Airport,KSMO,222.0
217,Snohomish County (Paine Field) Airport,KPAE,220.0
178,Lehigh Valley International Airport,KABE,219.0
13,Charles de Gaulle International Airport,LFPG,218.0
294,Republic Airport,KFRG,218.0
90,Page Field,KFMY,214.0
175,Gillespie Field,KSEE,213.0
176,Spirit of St Louis Airport,KSUS,210.0
104,Trenton Mercer Airport,KTTN,206.0
336,Charlottesville Albemarle Airport,KCHO,204.0
206,Charlotte County Airport,KPGD,202.0
