,n.name,n.code,score
13,Chicago O'Hare International Airport,KORD,5117.0
70,Hartsfield Jackson Atlanta International Airport,KATL,4850.0
22,Los Angeles International Airport,KLAX,3847.0
60,Denver International Airport,KDEN,3640.0
95,Dallas Fort Worth International Airport,KDFW,3516.0
46,McCarran International Airport,KLAS,3388.0
84,Phoenix Sky Harbor International Airport,KPHX,3231.0
69,Logan International Airport,KBOS,2667.0
0,San Francisco International Airport,KSFO,2623.0
21,Seattle Tacoma International Airport,KSEA,2506.0
100,La Guardia Airport,KLGA,2502.0
115,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,2362.0
123,George Bush Intercontinental Houston Airport,KIAH,2355.0
53,Newark Liberty International Airport,KEWR,2334.0
88,Philadelphia International Airport,KPHL,2214.0
126,Ronald Reagan Washington National Airport,KDCA,2060.0
51,Fort Lauderdale Hollywood International Airport,KFLL,1857.0
58,John F Kennedy International Airport,KJFK,1819.0
35,Washington Dulles International Airport,KIAD,1690.0
62,San Diego International Airport,KSAN,1675.0
37,Baltimore/Washington International Thurgood Marshall Airport,KBWI,1674.0
76,Nashville International Airport,KBNA,1660.0
38,Miami International Airport,KMIA,1549.0
55,Chicago Midway International Airport,KMDW,1505.0
134,Dallas Love Field,KDAL,1438.0
144,Tampa International Airport,KTPA,1422.0
109,Portland International Airport,KPDX,1388.0
148,Raleigh Durham International Airport,KRDU,1348.0
71,Lester B. Pearson International Airport,CYYZ,1342.0
103,St Louis Lambert International Airport,KSTL,1315.0
272,Charlotte Douglas International Airport,KCLT,1304.0
61,Norman Y. Mineta San Jose International Airport,KSJC,1283.0
135,Austin Bergstrom International Airport,KAUS,1283.0
41,Metropolitan Oakland International Airport,KOAK,1244.0
64,Louisville Muhammad Ali International Airport,KSDF,1121.0
121,Cincinnati Northern Kentucky International Airport,KCVG,1120.0
74,William P Hobby Airport,KHOU,1118.0
111,John Wayne Airport-Orange County Airport,KSNA,1039.0
139,Southwest Florida International Airport,KRSW,1009.0
66,Teterboro Airport,KTEB,980.0
120,Sacramento International Airport,KSMF,971.0
131,Kansas City International Airport,KMCI,921.0
94,John Glenn Columbus International Airport,KCMH,908.0
90,Cleveland Hopkins International Airport,KCLE,901.0
122,San Antonio International Airport,KSAT,897.0
78,Bob Hope Airport,KBUR,845.0
117,General Mitchell International Airport,KMKE,711.0
190,Ontario International Airport,KONT,662.0
127,Eppley Airfield,KOMA,642.0
50,Ted Stevens Anchorage International Airport,PANC,632.0
63,Westchester County Airport,KHPN,621.0
251,Albuquerque International Sunport,KABQ,614.0
15,London Heathrow Airport,EGLL,592.0
154,Boise Air Terminal/Gowen Field,KBOI,567.0
