,n.name,n.code,score
76,Dallas Fort Worth International Airport,KDFW,1774.0
9,Chicago O'Hare International Airport,KORD,1685.0
32,Denver International Airport,KDEN,1531.0
25,Hartsfield Jackson Atlanta International Airport,KATL,1429.0
48,Charlotte Douglas International Airport,KCLT,1314.0
67,Phoenix Sky Harbor International Airport,KPHX,1254.0
19,Seattle Tacoma International Airport,KSEA,1161.0
34,Los Angeles International Airport,KLAX,1090.0
36,McCarran International Airport,KLAS,1072.0
61,Baltimore/Washington International Thurgood Marshall Airport,KBWI,832.0
20,San Francisco International Airport,KSFO,784.0
35,Louisville Muhammad Ali International Airport,KSDF,779.0
84,Chicago Midway International Airport,KMDW,776.0
41,Philadelphia International Airport,KPHL,776.0
8,Ted Stevens Anchorage International Airport,PANC,757.0
46,Logan International Airport,KBOS,720.0
88,Detroit Metropolitan Wayne County Airport,KDTW,709.0
30,Dallas Love Field,KDAL,703.0
118,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,668.0
162,John Wayne Airport-Orange County Airport,KSNA,668.0
66,Nashville International Airport,KBNA,610.0
80,Washington Dulles International Airport,KIAD,605.0
54,Portland International Airport,KPDX,560.0
59,Indianapolis International Airport,KIND,551.0
52,St Louis Lambert International Airport,KSTL,549.0
145,Metropolitan Oakland International Airport,KOAK,539.0
255,Cincinnati Northern Kentucky International Airport,KCVG,529.0
233,San Diego International Airport,KSAN,516.0
4,Scottsdale Airport,KSDL,494.0
38,Van Nuys Airport,KVNY,470.0
68,Norman Y. Mineta San Jose International Airport,KSJC,446.0
728,Raleigh Durham International Airport,KRDU,418.0
121,Miami International Airport,KMIA,414.0
75,Newark Liberty International Airport,KEWR,405.0
364,Ontario International Airport,KONT,403.0
135,Sacramento International Airport,KSMF,401.0
51,Fort Lauderdale Hollywood International Airport,KFLL,398.0
82,Centennial Airport,KAPA,392.0
63,Ronald Reagan Washington National Airport,KDCA,379.0
85,San Antonio International Airport,KSAT,370.0
177,Boeing Field King County International Airport,KBFI,354.0
62,Austin Bergstrom International Airport,KAUS,344.0
181,Albuquerque International Sunport,KABQ,342.0
182,Boise Air Terminal/Gowen Field,KBOI,341.0
191,Kansas City International Airport,KMCI,337.0
87,McClellan-Palomar Airport,KCRQ,329.0
95,Phoenix Deer Valley Airport,KDVT,328.0
60,William P Hobby Airport,KHOU,326.0
92,Bob Hope Airport,KBUR,324.0
98,George Bush Intercontinental Houston Airport,KIAH,322.0
122,Addison Airport,KADS,321.0
21,Southwest Florida International Airport,KRSW,315.0
77,John Glenn Columbus International Airport,KCMH,314.0
99,Eppley Airfield,KOMA,312.0
787,Pittsburgh International Airport,KPIT,309.0
858,General Mitchell International Airport,KMKE,299.0
167,Long Beach Airport (Daugherty Field),KLGB,298.0
132,Falcon Field,KFFZ,297.0
515,Sarasota Bradenton International Airport,KSRQ,293.0
45,Reno Tahoe International Airport,KRNO,292.0
70,DeKalb Peachtree Airport,KPDK,290.0
69,John F Kennedy International Airport,KJFK,282.0
197,Santa Barbara Municipal Airport,KSBA,277.0
7,Naples Municipal Airport,KAPF,275.0
65,St Petersburg Clearwater International Airport,KPIE,268.0
93,Portland Hillsboro Airport,KHIO,267.0
15,Northwest Florida Beaches International Airport,KECP,260.0
79,Phoenix–Mesa Gateway Airport,KIWA,258.0
96,Mac Dill Air Force Base,KMCF,257.0
229,Rocky Mountain Metropolitan Airport,KBJC,255.0
91,Westchester County Airport,KHPN,250.0
28,McGhee Tyson Airport,KTYS,249.0
102,Richard Lloyd Jones Jr Airport,KRVS,244.0
194,Teterboro Airport,KTEB,238.0
37,Montgomery-Gibbs Executive Airport,KMYF,236.0
383,Fresno Yosemite International Airport,KFAT,225.0
113,Palm Springs International Airport,KPSP,223.0
2,Hong Kong International Airport,VHHH,221.0
173,Camarillo International Airport,KCMA,219.0
596,Buffalo Niagara International Airport,KBUF,219.0
570,Laurence G Hanscom Field,KBED,215.0
0,Incheon International Airport,RKSI,209.0
209,Chicago Executive Airport,KPWK,208.0
339,French Valley Airport,KF70,203.0
23,Miami-Opa Locka Executive Airport,KOPF,199.0
367,Fort Worth Meacham International Airport,KFTW,198.0
304,Flying Cloud Airport,KFCM,194.0
380,Oxnard Airport,KOXR,192.0
665,Tulsa International Airport,KTUL,191.0
155,Chino Airport,KCNO,189.0
116,Tampa International Airport,KTPA,186.0
120,Daytona Beach International Airport,KDAB,184.0
133,Frederick Douglass Greater Rochester International Airport,KROC,183.0
198,Destin Executive Airport,KDTS,182.0
106,Tucson International Airport / Morris Air National Guard Base,KTUS,181.0
212,Chicago Rockford International Airport,KRFD,180.0
452,San Luis County Regional Airport,KSBP,180.0
139,Aurora State Airport,KUAO,175.0
250,Prescott International Airport - Ernest A. Love Field,KPRC,174.0
53,Snohomish County (Paine Field) Airport,KPAE,173.0
811,Page Field,KFMY,172.0
804,Norfolk International Airport,KORF,170.0
73,La Guardia Airport,KLGA,170.0
755,South Valley International Airport,KU42,168.0
39,Gillespie Field,KSEE,166.0
100,Chandler Municipal Airport,KCHD,161.0
368,Dane County Regional Truax Field,KMSN,161.0
3215,Whiting Field Naval Air Station - North,KNSE,161.0
101,Charles M. Schulz Sonoma County Airport,KSTS,159.0
213,Cincinnati Municipal Airport Lunken Field,KLUK,158.0
205,Livermore Municipal Airport,KLVK,158.0
262,Indy South Greenwood Airport,KHFY,157.0
170,Santa Monica Municipal Airport,KSMO,156.0
735,Republic Airport,KFRG,156.0
1449,Lancaster Airport,KLNS,156.0
442,Spirit of St Louis Airport,KSUS,155.0
398,Oakland County International Airport,KPTK,154.0
230,City of Colorado Springs Municipal Airport,KCOS,154.0
617,Fort Worth Alliance Airport,KAFW,152.0
6,London Heathrow Airport,EGLL,152.0
225,Charles B. Wheeler Downtown Airport,KMKC,150.0
201,North Las Vegas Metropolitan International Airport,KVGT,147.0
795,Morristown Municipal Airport,KMMU,146.0
1,Taiwan Taoyuan International Airport,RCTP,145.0
815,Cleveland Hopkins International Airport,KCLE,144.0
245,San Bernardino International Airport,KSBD,143.0
330,Hayward Executive Airport,KHWD,142.0
81,Syracuse Hancock International Airport,KSYR,140.0
64,Buchanan Field,KCCR,138.0
432,Arlington Municipal Airport,KAWO,137.0
166,Zamperini Field,KTOA,135.0
915,Martha's Vineyard Airport,KMVY,134.0
447,Henderson Executive Airport,KHND,131.0
127,Lester B. Pearson International Airport,CYYZ,129.0
112,Harrisburg International Airport,KMDT,128.0
31,Kissimmee Gateway Airport,KISM,127.0
180,San Gabriel Valley Airport,KEMT,127.0
159,Palo Alto Airport of Santa Clara County,KPAO,127.0
334,Merrill Field,PAMR,127.0
291,Renton Municipal Airport,KRNT,126.0
78,Lehigh Valley International Airport,KABE,126.0
827,James M Cox Dayton International Airport,KDAY,125.0
214,Sacramento Executive Airport,KSAC,125.0
165,Fullerton Municipal Airport,KFUL,124.0
285,McKinney National Airport,KTKI,123.0
677,Dupage Airport,KDPA,123.0
469,Bowman Field,KLOU,123.0
850,Gwinnett County Briscoe Field,KLZU,123.0
421,North Houston Airport,K9X1,122.0
532,Bellingham International Airport,KBLI,121.0
264,Indianapolis Executive Airport,KTYQ,121.0
831,Piedmont Triad International Airport,KGSO,120.0
164,Brackett Field,KPOC,118.0
141,Whiteman Airport,KWHP,118.0
519,Cobb County International Airport-McCollum Field,KRYY,117.0
130,Leesburg Executive Airport,KJYO,116.0
202,Reid-Hillview Airport of Santa Clara County,KRHV,116.0
237,Napa County Airport,KAPC,114.0
551,Provo-Utah Lake International Airport,KPVU,112.0
440,Skyhaven Airport,8TX7,111.0
829,Essex County Airport,KCDW,110.0
219,Denton Municipal Airport,KDTO,110.0
221,Sacramento Mather Airport,KMHR,109.0
796,Charlotte County Airport,KPGD,107.0
108,Bend Municipal Airport,KBDN,107.0
376,Springfield Branson National Airport,KSGF,105.0
363,Arlington Municipal Airport,KGKY,104.0
374,Salt Lake City International Airport,KSLC,103.0
146,Martin State Airport,KMTN,100.0
489,Manassas Regional Airport/Harry P. Davis Field,KHEF,99.0
200,Gila Bend Municipal Airport,KE63,98.0
575,Riverside Municipal Airport,KRAL,98.0
828,Albert Whitted Airport,KSPG,98.0
864,Appleton International Airport,KATW,96.0
415,Coeur D'Alene - Pappy Boyington Field,KCOE,95.0
