,n.name,n.code,score
45,Hartsfield Jackson Atlanta International Airport,KATL,4648.0
15,Chicago O'Hare International Airport,KORD,4529.0
77,Los Angeles International Airport,KLAX,3735.0
46,Denver International Airport,KDEN,3381.0
71,McCarran International Airport,KLAS,3240.0
98,Dallas Fort Worth International Airport,KDFW,3207.0
99,Phoenix Sky Harbor International Airport,KPHX,3053.0
53,Logan International Airport,KBOS,2575.0
82,San Francisco International Airport,KSFO,2574.0
86,Seattle Tacoma International Airport,KSEA,2454.0
112,La Guardia Airport,KLGA,2405.0
57,Detroit Metropolitan Wayne County Airport,KDTW,2357.0
23,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,2269.0
8,Newark Liberty International Airport,KEWR,2245.0
31,George Bush Intercontinental Houston Airport,KIAH,2190.0
17,Philadelphia International Airport,KPHL,2088.0
106,Ronald Reagan Washington National Airport,KDCA,1991.0
18,John F Kennedy International Airport,KJFK,1748.0
69,Fort Lauderdale Hollywood International Airport,KFLL,1739.0
108,San Diego International Airport,KSAN,1641.0
12,Washington Dulles International Airport,KIAD,1557.0
30,Miami International Airport,KMIA,1531.0
79,Nashville International Airport,KBNA,1520.0
92,Dallas Love Field,KDAL,1466.0
60,Baltimore/Washington International Thurgood Marshall Airport,KBWI,1465.0
90,Tampa International Airport,KTPA,1454.0
64,Norman Y. Mineta San Jose International Airport,KSJC,1356.0
125,Raleigh Durham International Airport,KRDU,1355.0
84,Portland International Airport,KPDX,1341.0
100,St Louis Lambert International Airport,KSTL,1318.0
68,Chicago Midway International Airport,KMDW,1292.0
62,Lester B. Pearson International Airport,CYYZ,1254.0
85,Austin Bergstrom International Airport,KAUS,1206.0
247,Metropolitan Oakland International Airport,KOAK,1177.0
161,John Wayne Airport-Orange County Airport,KSNA,1156.0
140,Louisville Muhammad Ali International Airport,KSDF,1152.0
78,William P Hobby Airport,KHOU,1125.0
297,Charlotte Douglas International Airport,KCLT,1051.0
44,Cincinnati Northern Kentucky International Airport,KCVG,1007.0
181,Teterboro Airport,KTEB,954.0
226,Sacramento International Airport,KSMF,945.0
107,John Glenn Columbus International Airport,KCMH,906.0
229,Bob Hope Airport,KBUR,867.0
169,Kansas City International Airport,KMCI,853.0
