,n.name,n.code,score
29,Dallas Fort Worth International Airport,KDFW,1522.0
16,Chicago O'Hare International Airport,KORD,1367.0
65,Denver International Airport,KDEN,1242.0
31,Hartsfield Jackson Atlanta International Airport,KATL,1156.0
53,Phoenix Sky Harbor International Airport,KPHX,1033.0
150,Charlotte Douglas International Airport,KCLT,968.0
40,Los Angeles International Airport,KLAX,891.0
39,Seattle Tacoma International Airport,KSEA,856.0
73,McCarran International Airport,KLAS,807.0
35,Louisville Muhammad Ali International Airport,KSDF,759.0
43,Philadelphia International Airport,KPHL,676.0
59,Baltimore/Washington International Thurgood Marshall Airport,KBWI,666.0
64,Chicago Midway International Airport,KMDW,642.0
36,San Francisco International Airport,KSFO,616.0
86,Detroit Metropolitan Wayne County Airport,KDTW,597.0
68,Dallas Love Field,KDAL,592.0
27,Ted Stevens Anchorage International Airport,PANC,567.0
81,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,567.0
48,Logan International Airport,KBOS,564.0
24,George Bush Intercontinental Houston Airport,KIAH,551.0
44,Nashville International Airport,KBNA,481.0
97,Washington Dulles International Airport,KIAD,470.0
104,John Wayne Airport-Orange County Airport,KSNA,457.0
136,Metropolitan Oakland International Airport,KOAK,441.0
99,San Diego International Airport,KSAN,434.0
207,Cincinnati Northern Kentucky International Airport,KCVG,425.0
61,Indianapolis International Airport,KIND,422.0
58,St Louis Lambert International Airport,KSTL,420.0
62,Portland International Airport,KPDX,419.0
72,Austin Bergstrom International Airport,KAUS,416.0
79,William P Hobby Airport,KHOU,384.0
0,Miami International Airport,KMIA,378.0
380,Ontario International Airport,KONT,374.0
631,Raleigh Durham International Airport,KRDU,362.0
41,Fort Lauderdale Hollywood International Airport,KFLL,346.0
82,Ronald Reagan Washington National Airport,KDCA,343.0
1128,Whiting Field Naval Air Station - North,KNSE,343.0
147,Norman Y. Mineta San Jose International Airport,KSJC,343.0
148,Sacramento International Airport,KSMF,337.0
60,DeKalb Peachtree Airport,KPDK,319.0
121,Tampa International Airport,KTPA,313.0
149,San Antonio International Airport,KSAT,310.0
123,Van Nuys Airport,KVNY,309.0
120,Centennial Airport,KAPA,299.0
952,Orlando Executive Airport,KORL,292.0
20,Scottsdale Airport,KSDL,291.0
91,Albuquerque International Sunport,KABQ,280.0
379,Pittsburgh International Airport,KPIT,275.0
109,Long Beach Airport (Daugherty Field),KLGB,274.0
