,n.name,n.code,score
4110,Chicago O'Hare International Airport,KORD,3065.0
4097,Hartsfield Jackson Atlanta International Airport,KATL,2610.0
4131,Los Angeles International Airport,KLAX,2575.0
4117,Denver International Airport,KDEN,2430.0
4170,Phoenix Sky Harbor International Airport,KPHX,2246.0
4136,Dallas Fort Worth International Airport,KDFW,2139.0
4126,Seattle Tacoma International Airport,KSEA,1776.0
4118,San Francisco International Airport,KSFO,1495.0
4146,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,1453.0
4101,Logan International Airport,KBOS,1439.0
4129,Philadelphia International Airport,KPHL,1346.0
4172,George Bush Intercontinental Houston Airport,KIAH,1323.0
4161,McCarran International Airport,KLAS,1253.0
4111,Baltimore/Washington International Thurgood Marshall Airport,KBWI,1197.0
4121,Newark Liberty International Airport,KEWR,1180.0
4138,Fort Lauderdale Hollywood International Airport,KFLL,1178.0
4165,San Diego International Airport,KSAN,1129.0
4164,Ronald Reagan Washington National Airport,KDCA,1077.0
4105,John F Kennedy International Airport,KJFK,1076.0
4192,Charlotte Douglas International Airport,KCLT,1063.0
4094,La Guardia Airport,KLGA,1031.0
4151,Tampa International Airport,KTPA,1019.0
4147,Portland International Airport,KPDX,1007.0
4140,Dallas Love Field,KDAL,952.0
4114,Louisville Muhammad Ali International Airport,KSDF,948.0
4162,Nashville International Airport,KBNA,934.0
4092,Miami International Airport,KMIA,916.0
4179,St Louis Lambert International Airport,KSTL,898.0
4202,Cincinnati Northern Kentucky International Airport,KCVG,846.0
4116,Washington Dulles International Airport,KIAD,810.0
4238,Norman Y. Mineta San Jose International Airport,KSJC,771.0
4132,Austin Bergstrom International Airport,KAUS,770.0
4167,Raleigh Durham International Airport,KRDU,719.0
4102,Metropolitan Oakland International Airport,KOAK,710.0
4144,William P Hobby Airport,KHOU,688.0
4163,Southwest Florida International Airport,KRSW,683.0
4156,Sacramento International Airport,KSMF,674.0
4099,Chicago Midway International Airport,KMDW,638.0
4104,Ted Stevens Anchorage International Airport,PANC,622.0
4234,John Wayne Airport-Orange County Airport,KSNA,567.0
4174,Kansas City International Airport,KMCI,556.0
4157,John Glenn Columbus International Airport,KCMH,540.0
4155,San Antonio International Airport,KSAT,528.0
4196,Cleveland Hopkins International Airport,KCLE,524.0
4218,General Mitchell International Airport,KMKE,518.0
4209,Ontario International Airport,KONT,501.0
4143,Albuquerque International Sunport,KABQ,481.0
4271,Daytona Beach International Airport,KDAB,455.0
4227,Detroit Metropolitan Wayne County Airport,KDTW,390.0
4181,Boise Air Terminal/Gowen Field,KBOI,378.0
4120,Eppley Airfield,KOMA,375.0
4191,Bob Hope Airport,KBUR,363.0
4135,Lester B. Pearson International Airport,CYYZ,343.0
4194,Long Beach Airport (Daugherty Field),KLGB,329.0
4221,Falcon Field,KFFZ,323.0
4199,Salt Lake City International Airport,KSLC,308.0
4177,McGhee Tyson Airport,KTYS,299.0
4185,Van Nuys Airport,KVNY,291.0
4360,Pittsburgh International Airport,KPIT,289.0
4240,Norfolk International Airport,KORF,288.0
4145,Buffalo Niagara International Airport,KBUF,282.0
4103,Phoenix Deer Valley Airport,KDVT,281.0
4149,Sarasota Bradenton International Airport,KSRQ,277.0
4226,Gerald R. Ford International Airport,KGRR,269.0
4159,Phoenix–Mesa Gateway Airport,KIWA,260.0
4175,Kissimmee Gateway Airport,KISM,260.0
4207,Tulsa International Airport,KTUL,256.0
4217,Scottsdale Airport,KSDL,252.0
4113,Teterboro Airport,KTEB,238.0
4233,Fresno Yosemite International Airport,KFAT,233.0
4263,Piedmont Triad International Airport,KGSO,226.0
82,Westchester County Airport,KHPN,218.0
4341,Santa Barbara Municipal Airport,KSBA,217.0
4122,DeKalb Peachtree Airport,KPDK,211.0
4232,Centennial Airport,KAPA,208.0
177,Orlando Executive Airport,KORL,206.0
4137,Dane County Regional Truax Field,KMSN,201.0
4236,James M Cox Dayton International Airport,KDAY,201.0
4176,Theodore Francis Green State Airport,KPVD,200.0
4279,Frederick Douglass Greater Rochester International Airport,KROC,194.0
4305,Camarillo International Airport,KCMA,193.0
4295,Whiting Field Naval Air Station - North,KNSE,190.0
4254,Chicago Rockford International Airport,KRFD,186.0
4229,Syracuse Hancock International Airport,KSYR,186.0
4282,Tucson International Airport / Morris Air National Guard Base,KTUS,184.0
4319,McClellan-Palomar Airport,KCRQ,181.0
4201,Northwest Arkansas Regional Airport,KXNA,178.0
8,New Smyrna Beach Municipal Airport,KEVB,174.0
4214,City of Colorado Springs Municipal Airport,KCOS,173.0
4262,Pueblo Memorial Airport,KPUB,170.0
4187,Naples Municipal Airport,KAPF,166.0
4182,Northwest Florida Beaches International Airport,KECP,165.0
4321,Addison Airport,KADS,164.0
4268,Harrisburg International Airport,KMDT,163.0
4220,South Valley International Airport,KU42,163.0
4361,San Luis County Regional Airport,KSBP,162.0
4269,Boeing Field King County International Airport,KBFI,161.0
4306,Richard Lloyd Jones Jr Airport,KRVS,161.0
4087,London Heathrow Airport,EGLL,161.0
4260,Pensacola International Airport,KPNS,160.0
4242,Chandler Municipal Airport,KCHD,155.0
4171,Montreal / Pierre Elliott Trudeau International Airport,CYUL,153.0
296,Fort Worth Alliance Airport,KAFW,152.0
4081,Hong Kong International Airport,VHHH,148.0
4166,Vancouver International Airport,CYVR,146.0
4333,Huntsville International Carl T Jones Field,KHSV,146.0
4348,Montgomery-Gibbs Executive Airport,KMYF,145.0
58,Carls Airport,78MI,145.0
4178,Page Field,KFMY,144.0
4340,Gila Bend Municipal Airport,KE63,142.0
4158,Fernando Luis Ribas Dominicci Airport,TJIG,141.0
4281,Springfield Branson National Airport,KSGF,139.0
273,Fort Wayne International Airport,KFWA,139.0
4184,Charlotte County Airport,KPGD,136.0
4089,Incheon International Airport,RKSI,135.0
4204,Gwinnett County Briscoe Field,KLZU,129.0
4309,Zamperini Field,KTOA,128.0
4142,Lenzner Farm Airport,7PS7,125.0
15,Massey Ranch Airpark,KX50,125.0
227,Denton Municipal Airport,KDTO,121.0
4108,Miami-Opa Locka Executive Airport,KOPF,121.0
