,n.name,n.code,score
125,Denver International Airport,KDEN,2178.0
31,Dallas Fort Worth International Airport,KDFW,2164.0
44,Hartsfield Jackson Atlanta International Airport,KATL,2019.0
48,Chicago O'Hare International Airport,KORD,1711.0
54,McCarran International Airport,KLAS,1680.0
65,Charlotte Douglas International Airport,KCLT,1642.0
41,Seattle Tacoma International Airport,KSEA,1635.0
92,Phoenix Sky Harbor International Airport,KPHX,1612.0
45,Los Angeles International Airport,KLAX,1453.0
88,Baltimore/Washington International Thurgood Marshall Airport,KBWI,1238.0
83,Chicago Midway International Airport,KMDW,1205.0
50,San Francisco International Airport,KSFO,1042.0
62,Dallas Love Field,KDAL,1042.0
51,Logan International Airport,KBOS,1005.0
59,Philadelphia International Airport,KPHL,998.0
104,Detroit Metropolitan Wayne County Airport,KDTW,961.0
99,John Wayne Airport-Orange County Airport,KSNA,940.0
32,Louisville Muhammad Ali International Airport,KSDF,921.0
94,Nashville International Airport,KBNA,909.0
15,Ted Stevens Anchorage International Airport,PANC,869.0
128,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,832.0
81,Indianapolis International Airport,KIND,814.0
63,Metropolitan Oakland International Airport,KOAK,805.0
56,Fort Lauderdale Hollywood International Airport,KFLL,793.0
133,Orlando International Airport,KMCO,775.0
71,Portland International Airport,KPDX,772.0
17,Miami International Airport,KMIA,763.0
90,St Louis Lambert International Airport,KSTL,762.0
49,San Diego International Airport,KSAN,760.0
116,Ronald Reagan Washington National Airport,KDCA,732.0
120,Norman Y. Mineta San Jose International Airport,KSJC,710.0
85,Austin Bergstrom International Airport,KAUS,684.0
111,Washington Dulles International Airport,KIAD,654.0
107,Newark Liberty International Airport,KEWR,652.0
61,Cincinnati Northern Kentucky International Airport,KCVG,619.0
34,Ontario International Airport,KONT,573.0
91,Westchester County Airport,KHPN,569.0
55,Sacramento International Airport,KSMF,565.0
110,Raleigh Durham International Airport,KRDU,562.0
24,Van Nuys Airport,KVNY,560.0
75,Centennial Airport,KAPA,549.0
39,John F Kennedy International Airport,KJFK,532.0
101,La Guardia Airport,KLGA,523.0
138,Bob Hope Airport,KBUR,501.0
209,San Antonio International Airport,KSAT,496.0
68,Boise Air Terminal/Gowen Field,KBOI,478.0
158,Boeing Field King County International Airport,KBFI,474.0
175,Kansas City International Airport,KMCI,447.0
80,John Glenn Columbus International Airport,KCMH,444.0
