,n.name,n.code,score
3305,Chicago O'Hare International Airport,KORD,1453.0
3314,Dallas Fort Worth International Airport,KDFW,1317.0
3273,Hartsfield Jackson Atlanta International Airport,KATL,1309.0
3337,Denver International Airport,KDEN,1213.0
3311,Phoenix Sky Harbor International Airport,KPHX,1212.0
3295,Charlotte Douglas International Airport,KCLT,1049.0
3277,Los Angeles International Airport,KLAX,1035.0
3282,Seattle Tacoma International Airport,KSEA,987.0
3264,Louisville Muhammad Ali International Airport,KSDF,798.0
3304,McCarran International Airport,KLAS,786.0
3319,Detroit Metropolitan Wayne County Airport,KDTW,780.0
3267,Philadelphia International Airport,KPHL,773.0
3280,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,670.0
3308,Baltimore/Washington International Thurgood Marshall Airport,KBWI,651.0
3285,San Francisco International Airport,KSFO,631.0
3284,Logan International Airport,KBOS,618.0
3344,George Bush Intercontinental Houston Airport,KIAH,589.0
3238,Ted Stevens Anchorage International Airport,PANC,569.0
3294,San Diego International Airport,KSAN,563.0
3324,Chicago Midway International Airport,KMDW,519.0
3288,St Louis Lambert International Airport,KSTL,515.0
3381,Dallas Love Field,KDAL,510.0
3360,Portland International Airport,KPDX,489.0
3317,Cincinnati Northern Kentucky International Airport,KCVG,487.0
3292,Nashville International Airport,KBNA,478.0
3303,Metropolitan Oakland International Airport,KOAK,472.0
3252,Washington Dulles International Airport,KIAD,467.0
3347,Miami International Airport,KMIA,459.0
3300,Ronald Reagan Washington National Airport,KDCA,448.0
3369,William P Hobby Airport,KHOU,410.0
3335,Ontario International Airport,KONT,403.0
3350,Austin Bergstrom International Airport,KAUS,400.0
3307,John Wayne Airport-Orange County Airport,KSNA,400.0
3256,Norman Y. Mineta San Jose International Airport,KSJC,386.0
4095,Whiting Field Naval Air Station - North,KNSE,369.0
3385,Sacramento International Airport,KSMF,369.0
3254,Raleigh Durham International Airport,KRDU,367.0
3263,Fort Lauderdale Hollywood International Airport,KFLL,333.0
3332,San Antonio International Airport,KSAT,328.0
3396,Albuquerque International Sunport,KABQ,303.0
3371,General Mitchell International Airport,KMKE,292.0
3326,Kansas City International Airport,KMCI,287.0
3323,John F Kennedy International Airport,KJFK,283.0
3341,Van Nuys Airport,KVNY,283.0
3270,Newark Liberty International Airport,KEWR,281.0
3850,Bob Hope Airport,KBUR,278.0
3380,Falcon Field,KFFZ,270.0
3312,Phoenix Deer Valley Airport,KDVT,269.0
3291,Scottsdale Airport,KSDL,268.0
3362,Tampa International Airport,KTPA,265.0
3275,Boeing Field King County International Airport,KBFI,264.0
3939,Indianapolis International Airport,KIND,253.0
3358,John Glenn Columbus International Airport,KCMH,245.0
3867,Eppley Airfield,KOMA,238.0
3929,Long Beach Airport (Daugherty Field),KLGB,231.0
4110,DeKalb Peachtree Airport,KPDK,218.0
3318,McClellan-Palomar Airport,KCRQ,216.0
4106,Boise Air Terminal/Gowen Field,KBOI,213.0
4516,Daytona Beach International Airport,KDAB,210.0
3306,Chicago Rockford International Airport,KRFD,196.0
4132,Cleveland Hopkins International Airport,KCLE,194.0
3336,Centennial Airport,KAPA,190.0
3274,Orlando Executive Airport,KORL,185.0
3364,Phoenix–Mesa Gateway Airport,KIWA,182.0
3268,Sarasota Bradenton International Airport,KSRQ,178.0
3930,Camarillo International Airport,KCMA,178.0
3248,Tulsa International Airport,KTUL,177.0
3372,Southwest Florida International Airport,KRSW,177.0
4068,Santa Barbara Municipal Airport,KSBA,173.0
3349,McGhee Tyson Airport,KTYS,172.0
3864,Salt Lake City International Airport,KSLC,166.0
3234,Hong Kong International Airport,VHHH,165.0
3310,Pittsburgh International Airport,KPIT,163.0
3309,Flying Cloud Airport,KFCM,156.0
3334,Chino Airport,KCNO,155.0
4323,Norfolk International Airport,KORF,155.0
3379,Addison Airport,KADS,148.0
3243,Incheon International Airport,RKSI,146.0
3293,Fresno Yosemite International Airport,KFAT,146.0
3348,Chandler Municipal Airport,KCHD,145.0
3921,Oxnard Airport,KOXR,144.0
3391,Portland Hillsboro Airport,KHIO,143.0
3373,Richard Lloyd Jones Jr Airport,KRVS,142.0
3861,Zamperini Field,KTOA,140.0
3361,La Guardia Airport,KLGA,140.0
4663,New Smyrna Beach Municipal Airport,KEVB,138.0
3346,Dane County Regional Truax Field,KMSN,138.0
3856,Naples Municipal Airport,KAPF,133.0
3868,Frederick Douglass Greater Rochester International Airport,KROC,133.0
4358,Fort Worth Alliance Airport,KAFW,133.0
3237,London Heathrow Airport,EGLL,131.0
3289,Buffalo Niagara International Airport,KBUF,129.0
3386,Gwinnett County Briscoe Field,KLZU,129.0
3894,David Wayne Hooks Memorial Airport,KDWH,126.0
3981,Northwest Florida Beaches International Airport,KECP,124.0
3860,Montgomery-Gibbs Executive Airport,KMYF,123.0
4247,Harrisburg International Airport,KMDT,123.0
3338,Page Field,KFMY,122.0
3889,Lester B. Pearson International Airport,CYYZ,120.0
4253,Theodore Francis Green State Airport,KPVD,119.0
3343,Livermore Municipal Airport,KLVK,118.0
3233,Taiwan Taoyuan International Airport,RCTP,116.0
4088,Snohomish County (Paine Field) Airport,KPAE,115.0
3853,Tucson International Airport / Morris Air National Guard Base,KTUS,111.0
4145,San Luis County Regional Airport,KSBP,110.0
3354,El Dorado International Airport,SKBO,109.0
3235,City of Colorado Springs Municipal Airport,KCOS,107.0
4403,Piedmont Triad International Airport,KGSO,106.0
3880,Gillespie Field,KSEE,103.0
3240,Spirit of St Louis Airport,KSUS,103.0
4073,Riverside Municipal Airport,KRAL,102.0
4077,San Gabriel Valley Airport,KEMT,102.0
3340,James M Cox Dayton International Airport,KDAY,102.0
4168,Westchester County Airport,KHPN,101.0
3901,French Valley Airport,KF70,101.0
3356,Charles M. Schulz Sonoma County Airport,KSTS,100.0
3888,North Las Vegas Metropolitan International Airport,KVGT,100.0
4229,Bowman Field,KLOU,99.0
3959,Gila Bend Municipal Airport,KE63,97.0
3286,Cincinnati Municipal Airport Lunken Field,KLUK,96.0
4002,Miami-Opa Locka Executive Airport,KOPF,96.0
4115,St Petersburg Clearwater International Airport,KPIE,95.0
3918,Fullerton Municipal Airport,KFUL,94.0
4442,Springfield Branson National Airport,KSGF,93.0
3378,Cobb County International Airport-McCollum Field,KRYY,93.0
3906,Rocky Mountain Metropolitan Airport,KBJC,93.0
3902,Lancaster Airport,KLNS,93.0
3920,Whiteman Airport,KWHP,93.0
4297,Brackett Field,KPOC,92.0
3327,Lehigh Valley International Airport,KABE,90.0
3936,McClellan Airfield,KMCC,89.0
3933,Santa Monica Municipal Airport,KSMO,87.0
1269,South Valley International Airport,KU42,87.0
3907,Sacramento Executive Airport,KSAC,87.0
3895,Sacramento Mather Airport,KMHR,87.0
4228,Dupage Airport,KDPA,86.0
3365,Reid-Hillview Airport of Santa Clara County,KRHV,86.0
4135,Republic Airport,KFRG,86.0
3383,Renton Municipal Airport,KRNT,85.0
838,Carter Airport,FL57,85.0
3897,Arlington Municipal Airport,KAWO,85.0
4312,Pensacola International Airport,KPNS,84.0
3302,Teterboro Airport,KTEB,84.0
3859,Payson Airport,KPAN,83.0
4243,Chicago Executive Airport,KPWK,83.0
1040,Massey Ranch Airpark,KX50,82.0
3242,Prescott International Airport - Ernest A. Love Field,KPRC,82.0
3357,Hayward Executive Airport,KHWD,82.0
3301,Mac Dill Air Force Base,KMCF,82.0
4074,Fort Worth Meacham International Airport,KFTW,81.0
3366,Crystal Airport,KMIC,81.0
3377,Charles B. Wheeler Downtown Airport,KMKC,81.0
4179,Laurence G Hanscom Field,KBED,79.0
3870,Provo-Utah Lake International Airport,KPVU,79.0
3915,Visalia International Airport,KVIS,79.0
3255,Frankfurt am Main Airport,EDDF,78.0
3892,Buchanan Field,KCCR,78.0
