,n.name,n.code,score
40,Chicago O'Hare International Airport,KORD,5038.0
26,Hartsfield Jackson Atlanta International Airport,KATL,4609.0
1,Los Angeles International Airport,KLAX,3716.0
29,Denver International Airport,KDEN,3459.0
61,Dallas Fort Worth International Airport,KDFW,3444.0
64,McCarran International Airport,KLAS,3391.0
110,Phoenix Sky Harbor International Airport,KPHX,3103.0
102,San Francisco International Airport,KSFO,2647.0
124,Logan International Airport,KBOS,2558.0
107,Seattle Tacoma International Airport,KSEA,2510.0
100,Detroit Metropolitan Wayne County Airport,KDTW,2403.0
142,La Guardia Airport,KLGA,2342.0
46,George Bush Intercontinental Houston Airport,KIAH,2319.0
38,Newark Liberty International Airport,KEWR,2194.0
30,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,2158.0
34,Philadelphia International Airport,KPHL,2113.0
89,Ronald Reagan Washington National Airport,KDCA,1969.0
47,John F Kennedy International Airport,KJFK,1766.0
106,Fort Lauderdale Hollywood International Airport,KFLL,1736.0
128,San Diego International Airport,KSAN,1630.0
44,Washington Dulles International Airport,KIAD,1574.0
77,Miami International Airport,KMIA,1499.0
147,Nashville International Airport,KBNA,1498.0
54,Baltimore/Washington International Thurgood Marshall Airport,KBWI,1474.0
25,Dallas Love Field,KDAL,1441.0
126,Portland International Airport,KPDX,1368.0
115,Norman Y. Mineta San Jose International Airport,KSJC,1335.0
51,Raleigh Durham International Airport,KRDU,1307.0
105,St Louis Lambert International Airport,KSTL,1297.0
63,Chicago Midway International Airport,KMDW,1277.0
119,Austin Bergstrom International Airport,KAUS,1233.0
154,Lester B. Pearson International Airport,CYYZ,1195.0
7,Metropolitan Oakland International Airport,KOAK,1190.0
190,John Wayne Airport-Orange County Airport,KSNA,1167.0
134,William P Hobby Airport,KHOU,1107.0
129,Louisville Muhammad Ali International Airport,KSDF,1035.0
99,Cincinnati Northern Kentucky International Airport,KCVG,1030.0
31,Southwest Florida International Airport,KRSW,919.0
