,n.name,n.code,score
4351,Chicago O'Hare International Airport,KORD,1264.0
4075,Hartsfield Jackson Atlanta International Airport,KATL,1116.0
4343,Dallas Fort Worth International Airport,KDFW,1114.0
4358,Denver International Airport,KDEN,1051.0
4363,Phoenix Sky Harbor International Airport,KPHX,990.0
4078,Seattle Tacoma International Airport,KSEA,830.0
4073,Los Angeles International Airport,KLAX,812.0
4360,Charlotte Douglas International Airport,KCLT,741.0
4362,Detroit Metropolitan Wayne County Airport,KDTW,671.0
4067,Louisville Muhammad Ali International Airport,KSDF,652.0
4069,Philadelphia International Airport,KPHL,642.0
4074,McCarran International Airport,KLAS,620.0
4400,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,592.0
4043,Ted Stevens Anchorage International Airport,PANC,560.0
4347,Logan International Airport,KBOS,532.0
4344,San Francisco International Airport,KSFO,510.0
4375,Baltimore/Washington International Thurgood Marshall Airport,KBWI,508.0
4065,George Bush Intercontinental Houston Airport,KIAH,504.0
4376,Washington Dulles International Airport,KIAD,438.0
4368,Dallas Love Field,KDAL,433.0
4359,John Wayne Airport-Orange County Airport,KSNA,432.0
4438,St Louis Lambert International Airport,KSTL,423.0
4405,Metropolitan Oakland International Airport,KOAK,421.0
4508,Nashville International Airport,KBNA,420.0
4072,San Diego International Airport,KSAN,403.0
4389,Chicago Midway International Airport,KMDW,401.0
4353,Portland International Airport,KPDX,400.0
4630,Cincinnati Northern Kentucky International Airport,KCVG,399.0
4077,Indianapolis International Airport,KIND,390.0
4352,Ronald Reagan Washington National Airport,KDCA,387.0
4364,William P Hobby Airport,KHOU,375.0
4357,Austin Bergstrom International Airport,KAUS,361.0
4079,Ontario International Airport,KONT,353.0
4480,Van Nuys Airport,KVNY,346.0
4366,Norman Y. Mineta San Jose International Airport,KSJC,342.0
4397,Miami International Airport,KMIA,325.0
4396,Tampa International Airport,KTPA,317.0
173,Raleigh Durham International Airport,KRDU,313.0
4440,Sacramento International Airport,KSMF,303.0
4355,Albuquerque International Sunport,KABQ,277.0
4394,Scottsdale Airport,KSDL,270.0
4387,San Antonio International Airport,KSAT,268.0
4356,General Mitchell International Airport,KMKE,255.0
4374,John F Kennedy International Airport,KJFK,253.0
536,Fort Lauderdale Hollywood International Airport,KFLL,245.0
4068,Newark Liberty International Airport,KEWR,241.0
4449,Kansas City International Airport,KMCI,235.0
4446,Bob Hope Airport,KBUR,234.0
4062,Phoenix Deer Valley Airport,KDVT,230.0
476,Whiting Field Naval Air Station - North,KNSE,229.0
4421,Falcon Field,KFFZ,221.0
4367,McClellan-Palomar Airport,KCRQ,214.0
4056,John Glenn Columbus International Airport,KCMH,213.0
4536,Long Beach Airport (Daugherty Field),KLGB,211.0
4393,Boeing Field King County International Airport,KBFI,210.0
6,Santa Barbara Municipal Airport,KSBA,202.0
4457,Camarillo International Airport,KCMA,201.0
4361,Centennial Airport,KAPA,196.0
5,Boise Air Terminal/Gowen Field,KBOI,192.0
4412,Addison Airport,KADS,190.0
345,DeKalb Peachtree Airport,KPDK,188.0
4458,Eppley Airfield,KOMA,187.0
4635,Sarasota Bradenton International Airport,KSRQ,172.0
4045,Hong Kong International Airport,VHHH,166.0
10,Salt Lake City International Airport,KSLC,165.0
4392,Southwest Florida International Airport,KRSW,164.0
4046,Incheon International Airport,RKSI,161.0
4431,Montgomery-Gibbs Executive Airport,KMYF,160.0
4460,Oxnard Airport,KOXR,159.0
204,Rocky Mountain Metropolitan Airport,KBJC,152.0
4445,Phoenix–Mesa Gateway Airport,KIWA,151.0
4349,Fresno Yosemite International Airport,KFAT,151.0
4436,Gillespie Field,KSEE,149.0
4404,Cleveland Hopkins International Airport,KCLE,149.0
78,Chino Airport,KCNO,145.0
82,McGhee Tyson Airport,KTYS,143.0
4484,Chicago Rockford International Airport,KRFD,142.0
4381,David Wayne Hooks Memorial Airport,KDWH,142.0
4463,Richard Lloyd Jones Jr Airport,KRVS,141.0
4567,Northwest Florida Beaches International Airport,KECP,140.0
4076,Gwinnett County Briscoe Field,KLZU,137.0
208,Whiteman Airport,KWHP,136.0
4462,Zamperini Field,KTOA,136.0
4340,Tulsa International Airport,KTUL,136.0
4428,Dane County Regional Truax Field,KMSN,135.0
64,Norfolk International Airport,KORF,135.0
4441,Frederick Douglass Greater Rochester International Airport,KROC,132.0
157,French Valley Airport,KF70,129.0
4516,San Luis County Regional Airport,KSBP,126.0
335,Page Field,KFMY,125.0
4447,Portland Hillsboro Airport,KHIO,125.0
113,Tucson International Airport / Morris Air National Guard Base,KTUS,125.0
7,Westchester County Airport,KHPN,123.0
4371,Chandler Municipal Airport,KCHD,123.0
202,Daytona Beach International Airport,KDAB,122.0
4420,Fort Worth Alliance Airport,KAFW,120.0
4402,Buffalo Niagara International Airport,KBUF,120.0
4488,North Las Vegas Metropolitan International Airport,KVGT,118.0
537,Naples Municipal Airport,KAPF,117.0
4350,Kissimmee Gateway Airport,KISM,116.0
4047,London Heathrow Airport,EGLL,116.0
4384,Livermore Municipal Airport,KLVK,116.0
4395,La Guardia Airport,KLGA,114.0
3,South Valley International Airport,KU42,114.0
469,Laurence G Hanscom Field,KBED,113.0
4479,Theodore Francis Green State Airport,KPVD,112.0
4346,Teterboro Airport,KTEB,112.0
4497,Santa Monica Municipal Airport,KSMO,111.0
4051,Taiwan Taoyuan International Airport,RCTP,110.0
4534,City of Colorado Springs Municipal Airport,KCOS,110.0
4557,Reid-Hillview Airport of Santa Clara County,KRHV,108.0
4052,Fullerton Municipal Airport,KFUL,107.0
136,Buchanan Field,KCCR,104.0
4628,Charles M. Schulz Sonoma County Airport,KSTS,104.0
4059,El Dorado International Airport,SKBO,104.0
74,Lenzner Farm Airport,7PS7,104.0
13,Palo Alto Airport of Santa Clara County,KPAO,103.0
4382,Corona Municipal Airport,KAJO,102.0
4398,Sacramento Executive Airport,KSAC,101.0
247,Pueblo Memorial Airport,KPUB,101.0
467,North Perry Airport,KHWO,101.0
2960,Reno Tahoe International Airport,KRNO,99.0
4520,San Gabriel Valley Airport,KEMT,98.0
4489,Pensacola International Airport,KPNS,97.0
4473,James M Cox Dayton International Airport,KDAY,97.0
4505,Snohomish County (Paine Field) Airport,KPAE,95.0
4477,Hayward Executive Airport,KHWD,94.0
4613,Miami-Opa Locka Executive Airport,KOPF,94.0
175,San Carlos Airport,KSQL,93.0
4491,Flying Cloud Airport,KFCM,93.0
4643,Riverside Municipal Airport,KRAL,92.0
4622,Payson Airport,KPAN,92.0
316,Piedmont Triad International Airport,KGSO,92.0
409,Manchester-Boston Regional Airport,KMHT,91.0
4408,Marana Regional Airport,KAVQ,90.0
4547,Fort Worth Meacham International Airport,KFTW,90.0
4430,Denton Municipal Airport,KDTO,88.0
4645,Ramona Airport,KRNM,88.0
307,Cobb County International Airport-McCollum Field,KRYY,88.0
4455,Lester B. Pearson International Airport,CYYZ,87.0
248,Syracuse Hancock International Airport,KSYR,87.0
4620,Republic Airport,KFRG,86.0
4388,Provo-Utah Lake International Airport,KPVU,86.0
4399,McClellan Airfield,KMCC,86.0
4426,Spirit of St Louis Airport,KSUS,86.0
4365,Orlando Executive Airport,KORL,84.0
410,Lancaster Airport,KLNS,83.0
4603,Sacramento Mather Airport,KMHR,83.0
4377,Oakland County International Airport,KPTK,83.0
4379,Lehigh Valley International Airport,KABE,83.0
