,n.name,n.code,score
65,Denver International Airport,KDEN,2051.0
69,Dallas Fort Worth International Airport,KDFW,1934.0
47,Hartsfield Jackson Atlanta International Airport,KATL,1889.0
53,McCarran International Airport,KLAS,1676.0
81,Phoenix Sky Harbor International Airport,KPHX,1605.0
35,Chicago O'Hare International Airport,KORD,1549.0
21,Seattle Tacoma International Airport,KSEA,1459.0
79,Charlotte Douglas International Airport,KCLT,1455.0
58,Los Angeles International Airport,KLAX,1375.0
50,Baltimore/Washington International Thurgood Marshall Airport,KBWI,1199.0
96,Chicago Midway International Airport,KMDW,1157.0
54,San Francisco International Airport,KSFO,952.0
49,Logan International Airport,KBOS,945.0
72,Dallas Love Field,KDAL,942.0
40,Nashville International Airport,KBNA,931.0
52,Detroit Metropolitan Wayne County Airport,KDTW,925.0
39,Philadelphia International Airport,KPHL,917.0
102,John Wayne Airport-Orange County Airport,KSNA,799.0
85,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,794.0
32,Fort Lauderdale Hollywood International Airport,KFLL,778.0
30,Ted Stevens Anchorage International Airport,PANC,766.0
43,Louisville Muhammad Ali International Airport,KSDF,760.0
33,Metropolitan Oakland International Airport,KOAK,758.0
99,Portland International Airport,KPDX,747.0
91,St Louis Lambert International Airport,KSTL,739.0
57,San Diego International Airport,KSAN,729.0
70,Indianapolis International Airport,KIND,707.0
113,Miami International Airport,KMIA,689.0
112,Norman Y. Mineta San Jose International Airport,KSJC,670.0
101,Ronald Reagan Washington National Airport,KDCA,654.0
64,Orlando International Airport,KMCO,649.0
119,Washington Dulles International Airport,KIAD,613.0
103,Austin Bergstrom International Airport,KAUS,587.0
154,Raleigh Durham International Airport,KRDU,576.0
34,Newark Liberty International Airport,KEWR,574.0
142,Van Nuys Airport,KVNY,559.0
195,Cincinnati Northern Kentucky International Airport,KCVG,533.0
42,Sacramento International Airport,KSMF,514.0
48,John F Kennedy International Airport,KJFK,504.0
190,La Guardia Airport,KLGA,494.0
63,Ontario International Airport,KONT,491.0
137,Centennial Airport,KAPA,474.0
222,Bob Hope Airport,KBUR,461.0
29,Westchester County Airport,KHPN,457.0
106,William P Hobby Airport,KHOU,451.0
168,Kansas City International Airport,KMCI,439.0
117,John Glenn Columbus International Airport,KCMH,421.0
105,Boeing Field King County International Airport,KBFI,418.0
219,San Antonio International Airport,KSAT,415.0
123,Boise Air Terminal/Gowen Field,KBOI,402.0
109,Teterboro Airport,KTEB,393.0
74,Long Beach Airport (Daugherty Field),KLGB,387.0
194,Daytona Beach International Airport,KDAB,380.0
125,DeKalb Peachtree Airport,KPDK,379.0
68,Mac Dill Air Force Base,KMCF,374.0
169,Albuquerque International Sunport,KABQ,360.0
141,Southwest Florida International Airport,KRSW,351.0
166,General Mitchell International Airport,KMKE,347.0
150,Eppley Airfield,KOMA,337.0
197,Miami Executive Airport,KTMB,337.0
46,Scottsdale Airport,KSDL,322.0
38,Miami-Opa Locka Executive Airport,KOPF,296.0
97,Reno Tahoe International Airport,KRNO,292.0
275,Laurence G Hanscom Field,KBED,289.0
92,McClellan-Palomar Airport,KCRQ,284.0
302,Martha's Vineyard Airport,KMVY,273.0
67,Santa Barbara Municipal Airport,KSBA,271.0
59,Sarasota Bradenton International Airport,KSRQ,268.0
143,Northwest Florida Beaches International Airport,KECP,264.0
167,Montgomery-Gibbs Executive Airport,KMYF,258.0
31,Luis Munoz Marin International Airport,TJSJ,256.0
397,Norfolk International Airport,KORF,252.0
208,Naples Municipal Airport,KAPF,245.0
60,Kissimmee Gateway Airport,KISM,245.0
77,Oxnard Airport,KOXR,239.0
183,Addison Airport,KADS,238.0
283,Tuckernuck Airport,MA72,237.0
175,Falcon Field,KFFZ,236.0
90,Republic Airport,KFRG,235.0
161,Fresno Yosemite International Airport,KFAT,234.0
140,Phoenix–Mesa Gateway Airport,KIWA,223.0
238,Tulsa International Airport,KTUL,222.0
45,Buffalo Niagara International Airport,KBUF,214.0
9,Phoenix Deer Valley Airport,KDVT,212.0
111,Oakland County International Airport,KPTK,210.0
132,Tucson International Airport / Morris Air National Guard Base,KTUS,209.0
333,Lancaster Airport,KLNS,208.0
203,Rocky Mountain Metropolitan Airport,KBJC,207.0
136,Flying Cloud Airport,KFCM,207.0
93,Chicago Executive Airport,KPWK,206.0
202,Richard Lloyd Jones Jr Airport,KRVS,203.0
152,Page Field,KFMY,200.0
