,n.name,n.code,score
4981,Dallas Fort Worth International Airport,KDFW,1767.0
4901,Chicago O'Hare International Airport,KORD,1624.0
4985,Denver International Airport,KDEN,1497.0
4917,Hartsfield Jackson Atlanta International Airport,KATL,1363.0
4925,Phoenix Sky Harbor International Airport,KPHX,1246.0
193,Charlotte Douglas International Airport,KCLT,1158.0
4923,Los Angeles International Airport,KLAX,1117.0
4916,Seattle Tacoma International Airport,KSEA,1113.0
4949,McCarran International Airport,KLAS,1036.0
4921,Louisville Muhammad Ali International Airport,KSDF,896.0
4996,Philadelphia International Airport,KPHL,861.0
4950,Baltimore/Washington International Thurgood Marshall Airport,KBWI,857.0
4885,Ted Stevens Anchorage International Airport,PANC,759.0
4943,Chicago Midway International Airport,KMDW,757.0
4902,San Francisco International Airport,KSFO,751.0
4998,Dallas Love Field,KDAL,744.0
4954,Detroit Metropolitan Wayne County Airport,KDTW,730.0
5022,John Wayne Airport-Orange County Airport,KSNA,691.0
4937,Logan International Airport,KBOS,683.0
4966,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,647.0
4970,Washington Dulles International Airport,KIAD,621.0
4888,George Bush Intercontinental Houston Airport,KIAH,581.0
4975,Nashville International Airport,KBNA,569.0
23,Metropolitan Oakland International Airport,KOAK,567.0
5005,San Diego International Airport,KSAN,562.0
5030,Portland International Airport,KPDX,555.0
4940,Indianapolis International Airport,KIND,552.0
4952,Austin Bergstrom International Airport,KAUS,537.0
4980,Cincinnati Northern Kentucky International Airport,KCVG,503.0
4942,St Louis Lambert International Airport,KSTL,494.0
5016,Scottsdale Airport,KSDL,487.0
4891,Miami International Airport,KMIA,472.0
77,Norman Y. Mineta San Jose International Airport,KSJC,469.0
4928,Ontario International Airport,KONT,456.0
4955,William P Hobby Airport,KHOU,455.0
32,Van Nuys Airport,KVNY,451.0
4922,Fort Lauderdale Hollywood International Airport,KFLL,445.0
4979,Centennial Airport,KAPA,431.0
4915,Tampa International Airport,KTPA,426.0
5014,San Antonio International Airport,KSAT,417.0
4956,Ronald Reagan Washington National Airport,KDCA,403.0
276,Raleigh Durham International Airport,KRDU,400.0
54,Sacramento International Airport,KSMF,392.0
11,Newark Liberty International Airport,KEWR,386.0
9,Long Beach Airport (Daugherty Field),KLGB,386.0
4934,Albuquerque International Sunport,KABQ,353.0
0,Pittsburgh International Airport,KPIT,350.0
5023,Kansas City International Airport,KMCI,345.0
4920,DeKalb Peachtree Airport,KPDK,343.0
4963,Bob Hope Airport,KBUR,342.0
4977,Teterboro Airport,KTEB,329.0
4982,Addison Airport,KADS,325.0
35,McClellan-Palomar Airport,KCRQ,324.0
59,General Mitchell International Airport,KMKE,322.0
592,Rocky Mountain Metropolitan Airport,KBJC,319.0
4978,John Glenn Columbus International Airport,KCMH,317.0
4914,Phoenix Deer Valley Airport,KDVT,312.0
4974,Boeing Field King County International Airport,KBFI,310.0
5018,Eppley Airfield,KOMA,302.0
5032,Sarasota Bradenton International Airport,KSRQ,298.0
2,Naples Municipal Airport,KAPF,293.0
27,Falcon Field,KFFZ,287.0
365,Santa Barbara Municipal Airport,KSBA,286.0
4930,John F Kennedy International Airport,KJFK,286.0
49,Richard Lloyd Jones Jr Airport,KRVS,282.0
5026,Southwest Florida International Airport,KRSW,282.0
87,Camarillo International Airport,KCMA,280.0
4931,Reno Tahoe International Airport,KRNO,275.0
4992,Phoenix–Mesa Gateway Airport,KIWA,263.0
